resource,period,capacity_limit_mw
Greater_Imperial_Geothermal,2022,1123.965799
Greater_Imperial_Geothermal,2026,1123.965799
Greater_Imperial_Geothermal,2030,1123.965799
Northern_California_Geothermal,2018,0
Northern_California_Geothermal,2022,339.2
Northern_California_Geothermal,2026,339.2
Northern_California_Geothermal,2030,339.2
Southern_Nevada_Geothermal,2018,256
Southern_Nevada_Geothermal,2022,256
Southern_Nevada_Geothermal,2026,256
Southern_Nevada_Geothermal,2030,256
