Conventional - Planned Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resource Installed Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Installed Capacity, CAISO Resources (MW)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NW_Peaker,NW,,3107.77,3327.37,3327.37,3327.37,3657.37,3657.37,3657.37,3657.37,3657.37,3657.37,3657.37,3327.37,3327.37,3327.37,3327.37,3243.17,3243.17,3243.17,3243.17,3243.17,3243.17,3243.17,3243.17,3243.17,3243.17,2987.53,2837.53,2837.53,2837.53,2837.53,2837.53,2837.53,2837.53,2837.53,2659.73,2607.98
,,SW_Nuclear,SW,,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262,2858.262
,,SW_Coal,SW,,10454.5,10454.5,10194.5,9100.5,9100.5,8350.5,8350.5,8096.5,8096.5,8096.5,7716.5,7448.5,7448.5,7448.5,7448.5,7448.5,7448.5,7448.5,7448.5,7448.5,7448.5,7448.5,7448.5,7448.5,7448.5,7448.5,7448.5,7448.5,7448.5,7448.5,7448.5,7448.5,7448.5,7448.5,7448.5,7206.5
,,SW_CCGT,SW,,18574.3521,19474.3521,19474.3521,19474.3521,19474.3521,19768.3521,19768.3521,19768.3521,20062.3521,19835.3521,19715.4521,19715.4521,19715.4521,19715.4521,19715.4521,19715.4521,19715.4521,19715.4521,19715.4521,19426.0521,19136.6521,19136.6521,19136.6521,19136.6521,19136.6521,18529.2521,18529.2521,18529.2521,18529.2521,17965.2521,17965.2521,17965.2521,17965.2521,17965.2521,17965.2521,17677.3021
,,SW_Peaker,SW,,7320.95496,7620.95498,7813.25499,8586.25499,9290.25499,9332.55499,9212.155,9197.155,9123.155,11163.155,10941.355,10759.305,10537.305,10387.305,10387.305,10370.835,10370.835,10370.835,10370.835,10370.835,10370.835,10370.835,10285.83501,10285.83501,10285.83501,10285.83501,10285.83501,10285.83501,10285.83501,10285.83501,10285.83501,10285.83501,10285.83501,10285.83501,10285.83501,7628.73501
,,LDWP_Nuclear,LDWP,,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692,456.692
,,LDWP_Coal,LDWP,,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,LDWP_CCGT,LDWP,,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1935.89991,1388.49991
,,LDWP_Peaker,LDWP,,2234.9,2759.2,2759.2,2759.2,2759.2,2759.2,2726.5,2726.5,2726.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5,2282.5
,,IID_CCGT,IID,,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3
