Existing Renewable Resources,,,,,,,,,,,,,,,,,,,,,,,
,20.0,PG20012,Sierra Pacific Ind. (Anderson),SPIAND_1_ANDSN2,PG&E,CA,Shasta,Round Mountain - B,Biomass,Large,Existing,35827.0,42255.0,0.0,5.0,1.661,0.037922374,CAISO,CAISO,CAISO,Biomass,Northern_California,1.0
,21.0,PG20015,Sierra Pacific Ind.(Sonora),SPIFBD_1_PL1X2,PG&E,CA,Tuolumne,Tuolumne County,Biomass,Large,Existing,39814.0,42255.0,0.0,7.5,12.113,0.184368341,CAISO,CAISO,CAISO,Biomass,None,1.0
,22.0,PG2002,Collins Pine,COLPIN_6_COLLNS,PG&E,CA,Plumas,Plumas County,Biomass,Large,Existing,31545.0,42502.0,1.0,12.0,27.909,0.265496575,CAISO,CAISO,CAISO,Biomass,None,1.0
,23.0,PG2003,Covanta Mendota L. P.,MENBIO_6_UNIT,PG&E,CA,Fresno,Westlands,Biomass,Large,Existing,32888.0,42018.0,1.0,25.0,169.974,0.776136986,CAISO,CAISO,CAISO,Biomass,Westlands,1.0
,24.0,PG2004,"DG Fairhaven Power, LLC",FAIRHV_6_UNIT,PG&E,CA,Humboldt,Humboldt County,Biomass,Large,Existing,31811.0,42768.0,1.0,17.25,102.661,0.67937926,CAISO,CAISO,CAISO,Biomass,None,1.0
,25.0,PG2006,Woodland Biomass,BIOMAS_1_UNIT 1,PG&E,CA,Yolo,Sacramento River Valley,Biomass,Large,Existing,40238.0,43890.0,1.0,25.0,175.0,0.799086758,CAISO,CAISO,CAISO,Biomass,Northern_California,1.0
,26.0,PG2007,HL Power,,PG&E,CA,Lassen,Lassen North,Biomass,Large,Existing,32767.0,43723.0,1.0,32.0,166.019,0.592248145,CAISO,CAISO,CAISO,Biomass,Northern_California,1.0
,27.0,PG2012,Pacific-Ultrapower Chinese Station,ULTPCH_1_UNIT 1,PG&E,CA,Tuolumne,Tuolumne County,Biomass,Large,Existing,31801.0,42758.0,1.0,22.0,127.398,0.661052304,CAISO,CAISO,CAISO,Biomass,None,1.0
,28.0,PG2014,Rio Bravo Fresno,ULTPFR_1_UNIT 1,PG&E,CA,Fresno,Westlands,Biomass,Large,Existing,32552.0,43508.0,1.0,26.5,170.282,0.73353149,CAISO,CAISO,CAISO,Biomass,Westlands,1.0
,29.0,PG2015,Rio Bravo Rocklin,ULTRCK_2_UNIT,PG&E,CA,Placer,Placer County (Partial),Biomass,Large,Existing,32949.0,43906.0,1.0,25.0,168.097,0.76756621,CAISO,CAISO,CAISO,Biomass,None,1.0
,30.0,PG2022,Thermal Energy Dev. Corp.,THMENG_1_UNIT 1,PG&E,CA,San Joaquin,Solano,Biomass,Large,Existing,33024.0,43981.0,1.0,21.0,142.518,0.774722766,CAISO,CAISO,CAISO,Biomass,Solano,1.0
,31.0,PG2025,Wheelabrator Shasta,WSENGY_1_UNIT 1,PG&E,CA,Shasta,Round Mountain - B,Biomass,Large,Existing,32264.0,43220.0,1.0,54.9,388.822,0.808489491,CAISO,CAISO,CAISO,Biomass,Northern_California,1.0
,32.0,PG2026,Wadham Energy LP,WADHAM_6_UNIT,PG&E,CA,Colusa,Sacramento River Valley,Biomass,Large,Existing,39600.0,43251.0,1.0,26.5,141.0,0.607392091,CAISO,CAISO,CAISO,Biomass,Northern_California,1.0
,33.0,PG2027,Sierra Pacific Industries (SPI) REC Purchase Amended & Restated,,PG&E,CA,Multiple,NonCREZ,Biomass,Large,Existing,41320.0,43145.0,1.0,0.0,100.0,0.0,CAISO,CAISO,CAISO,Biomass,-,1.0
