Renewables - Planned Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Planned Resources, CAISO LSEs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO LSE RPS Requirement (GWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO RPS Requirement,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO LSE RPS Planned Resources by Technology (GWh),,State,Contract,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CA Biogas,,CA,CAISO,Biogas,,,1907.913719710536,1907.913719710536,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362,1999.0137197105362
,,CA Biomass,,CA,CAISO,Biomass,,,4205.429706666668,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667,4551.429706666667
,,CA Geothermal,,CA,CAISO,Geothermal,,,11770.328431204834,11489.148431204834,9453.668431204835,11862.668431204838,10918.208431204837,10499.518431204837,10499.518431204837,10499.518431204837,10499.518431204837,10499.518431204837,10499.518431204837,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838,10237.937591604838
