Cost Assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apply CO2 Price WECC-wide?,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CA_Natural_Gas,Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Carbon ($/tCO2),Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fuel Type,CO2 Intensity  (tCO2/MMBtu),CO2 Intensity for Prices,,,Monthly Price Shape (% of annual avg.),,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,,,,,,,,,,,,,,,,,,,,
,,CA_Natural_Gas,0.053,0.053,,,CA_Natural_Gas,,,,1.037756793424932,1.0311948976633076,1.0194490210872642,0.9561448532693417,0.9571693765085488,0.9662343721697182,1.0065749784332558,1.0085593804811022,0.9828816078659516,0.9748047059720382,1.0032020643804838,1.0461562798899662,,,,,,,,,,,,,,,,,,,,
,,NW_Natural_Gas,0.053,0.0,,,NW_Natural_Gas,,,,1.1218144018798422,1.0873845346852806,1.054771827076274,0.9156568264959961,0.8973421528750457,0.9088319223906757,0.9358720817910973,0.9489017379118598,0.9454376762465209,0.9425011469972953,1.045637252767787,1.1556008236073063,,,,,,,,,,,,,,,,,,,,
,,SW_Natural_Gas,0.053,0.0,,,SW_Natural_Gas,,,,1.0599202333857969,1.0510276789426514,1.0306702311112785,0.9324671503502442,0.9387711098061875,0.9506656337148346,1.0177176674917439,1.0189742209211665,0.9666739471921384,0.9533602974243598,1.0021129751657745,1.0643468828838902,,,,,,,,,,,,,,,,,,,,
,,CA_Coal,0.094,0.094,,,CA_Coal,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
,,Coal,0.094,0.0,,,Coal,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
,,Uranium,0.0,0.0,,,Uranium,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
,,Conventional_DR,0.0,0.0,,,Conventional_DR,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fuel Costs, excl. Carbon ($/MMBtu)",,,,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Low,Method,Last Year,Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CA_Natural_Gas,Linear,2026.0,5.0,,3.309187217575215,3.309187217575215,3.5329939488579822,3.8636760183180923,3.996245014290343,4.038179932043946,4.209289174860752,4.213171605361319,4.3178914891122,4.41827462397705,4.499410488543525,4.570156517843074,4.642329986439538,4.714503455036002,4.786676923632466,4.858850392228931,4.931023860825395,5.003197329421859,5.075370798018323,5.147544266614787,5.219717735211251,5.291891203807715,5.364064672404179,5.4362381410006435,5.508411609597108,5.580585078193572,5.652758546790036,5.7249320153865,5.797105483982964,5.869278952579428,5.941452421175892,6.0136258897723565,6.085799358368821,6.157972826965285,6.230146295561749,6.302319764158213
,,NW_Natural_Gas,Linear,2026.0,5.0,,2.7844549690123617,2.7844549690123617,2.9599575080438707,3.2840378368934333,3.3924753954546847,3.408187780015915,3.5534951423139076,3.544015652582791,3.636316841598184,3.7279708650476002,3.796364517040198,3.8698591899113057,3.933131999430785,3.9964048089502646,4.0596776184697445,4.122950427989224,4.186223237508703,4.249496047028183,4.312768856547662,4.376041666067142,4.439314475586621,4.502587285106101,4.56586009462558,4.6291329041450595,4.692405713664539,4.755678523184018,4.818951332703498,4.882224142222977,4.945496951742457,5.008769761261936,5.072042570781416,5.135315380300895,5.1985881898203745,5.261860999339854,5.325133808859333,5.388406618378813
,,SW_Natural_Gas,Linear,2026.0,5.0,,3.0620035224056457,3.0620035224056457,3.249274528117596,3.572921473266803,3.6861211826190763,3.7072555453517753,3.8579060406690253,3.8501595194167915,3.943959599664936,4.036070904114807,4.106141917541837,4.176804306391716,4.240583959536254,4.304363612680792,4.36814326582533,4.4319229189698675,4.495702572114405,4.559482225258943,4.623261878403481,4.687041531548019,4.7508211846925565,4.814600837837094,4.878380490981632,4.94216014412617,5.005939797270708,5.069719450415246,5.1334991035597834,5.197278756704321,5.261058409848859,5.324838062993397,5.388617716137935,5.4523973692824725,5.51617702242701,5.579956675571548,5.643736328716086,5.707515981860624
