Load Shapes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO TOU Impacts,High (MRW S4 x1.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forecasts by year (scalars for profiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Annual Net Energy for Loads by Region and Category (note: flexible part of the EV load is taken out and treated separately),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.0,1.0,1.0,101.0,9.128528756355382e-05,0.00013825400786444256,8.72853676855158e-05,0.00018458684293665666,9.373015813680179e-05,8.981084996908648e-05,0.00010782022373389692,9.327059518914448e-05,9.433049618670692e-05,7.293018315653697e-05,9.594485280123598e-05,,14.24986658992131,1.0,1.0,1.0,0.0,9.284304088564431,0.0,0.0,0.0,,1.0,1.0,0.00013825400786444256,8.72853676855158e-05,0.00018458684293665666,9.373015813680179e-05,8.981084996908648e-05,,,,,
,,1.0,2.0,1.0,102.0,8.615030674593187e-05,0.00010306647143687304,6.641178900151783e-05,0.0001896447547610718,9.175575547549827e-05,8.751105795425902e-05,0.0001048488789679652,9.156207621888576e-05,9.099961708406896e-05,7.019871562258427e-05,9.259220635186082e-05,,14.24986658992131,1.0,2.0,1.0,0.0,8.771141507630126,0.0,0.0,0.0,,1.0,2.0,0.00010306647143687304,6.641178900151783e-05,0.0001896447547610718,9.175575547549827e-05,8.751105795425902e-05,,,,,
,,1.0,3.0,1.0,103.0,8.276331531683917e-05,7.108613448279196e-05,4.777877690793642e-05,0.00019367775152557903,9.078151251950922e-05,8.581348127996395e-05,0.0001033652061440612,9.108223684851524e-05,8.976719181609291e-05,6.883298185560792e-05,9.037354326036255e-05,,14.24986658992131,1.0,3.0,1.0,0.0,8.442611254622754,0.0,0.0,0.0,,1.0,3.0,7.108613448279196e-05,4.777877690793642e-05,0.00019367775152557903,9.078151251950922e-05,8.581348127996395e-05,,,,,
,,1.0,4.0,1.0,104.0,8.093148950679773e-05,4.782813923176933e-05,3.312931419598446e-05,0.0001967516001507922,9.144658169195385e-05,8.669060000542172e-05,0.00010316525023787468,9.168567120822363e-05,8.796851710066842e-05,6.664780782844577e-05,8.988050701780739e-05,,14.24986658992131,1.0,4.0,1.0,0.0,8.319937974719265,0.0,0.0,0.0,,1.0,4.0,4.782813923176933e-05,3.312931419598446e-05,0.0001967516001507922,9.144658169195385e-05,8.669060000542172e-05,,,,,
,,1.0,5.0,1.0,105.0,8.088118765389039e-05,2.983281465149179e-05,2.2439314367411036e-05,0.00019881351736166845,9.455099335932055e-05,9.073712857769868e-05,0.0001049928472204195,9.329240606961587e-05,8.743557644424635e-05,6.801354159542212e-05,9.145822299398395e-05,,14.24986658992131,1.0,5.0,1.0,0.0,8.395177658595895,0.0,0.0,0.0,,1.0,5.0,2.983281465149179e-05,2.2439314367411036e-05,0.00019881351736166845,9.455099335932055e-05,9.073712857769868e-05,,,,,
,,1.0,6.0,1.0,106.0,8.258306701058797e-05,1.798206921452678e-05,2.19120203432633e-05,0.00020515228206095714,0.00010087605004107728,0.00010087571099087141,0.00010826012672750728,9.551711587769741e-05,8.623645996729668e-05,7.07450091293748e-05,9.441644044931496e-05,,14.24986658992131,1.0,6.0,1.0,0.0,8.606211102514983,0.0,0.0,0.0,,1.0,6.0,1.798206921452678e-05,2.19120203432633e-05,0.00020515228206095714,0.00010087605004107728,0.00010087571099087141,,,,,
,,1.0,7.0,1.0,107.0,8.52113388249953e-05,1.0474195987116625e-05,3.9358963101840546e-05,0.00022308588204745266,0.00010764919867250316,0.00011046649676925602,0.0001121472695437733,9.558254851911158e-05,8.776866435451014e-05,7.183759614295588e-05,9.880446300805597e-05,,14.24986658992131,1.0,7.0,1.0,0.0,7.992050595369397,0.0,0.0,0.0,,1.0,7.0,1.0474195987116625e-05,3.9358963101840546e-05,0.00022308588204745266,0.00010764919867250316,0.00011046649676925602,,,,,
,,1.0,8.0,1.0,108.0,8.583172834418554e-05,1.5064260319984705e-05,8.374112393631136e-05,0.0002228772708150275,0.00011022344700502224,0.00011788302691877595,0.00011571448291014085,9.633865904211968e-05,8.6702783041666e-05,7.211074289635115e-05,0.00010038217898423251,,14.24986658992131,1.0,8.0,1.0,0.0,8.13946646127844,0.0,0.0,0.0,,1.0,8.0,1.5064260319984705e-05,8.374112393631136e-05,0.0002228772708150275,0.00011022344700502224,0.00011788302691877595,,,,,
,,1.0,9.0,1.0,109.0,8.900074507734652e-05,3.0289518737434227e-05,0.00013244802915067107,0.00020470545648436142,0.00011255995545170398,0.00012157978934618968,0.00012001353489315111,9.708749927163734e-05,8.926755995069723e-05,7.62079441972802e-05,0.0001024036275787087,,14.24986658992131,1.0,9.0,1.0,0.0,2.5762822866895823,0.0,0.0,0.0,,1.0,9.0,3.0289518737434227e-05,0.00013244802915067107,0.00020470545648436142,0.00011255995545170398,0.00012157978934618968,,,,,
,,1.0,10.0,1.0,110.0,9.238354468536357e-05,3.402034177511004e-05,0.00013118622535911875,0.00017613045442402915,0.00011411420275477293,0.00012348510410421326,0.00012433658158490375,9.584427908476823e-05,9.163248411357016e-05,7.7027384457466e-05,0.00010506602328850661,,14.24986658992131,1.0,10.0,1.0,0.0,2.7246885238208494,0.0,0.0,0.0,,1.0,10.0,3.402034177511004e-05,0.00013118622535911875,0.00017613045442402915,0.00011411420275477293,0.00012348510410421326,,,,,
,,1.0,11.0,1.0,111.0,9.46261689608148e-05,4.0383048992217926e-05,0.00010869281628161481,0.0001483113705225113,0.00011458671562156964,0.00012387187168445425,0.0001273919078314338,9.423027392988553e-05,9.383086432131123e-05,7.89394117312329e-05,0.0001062000066463835,,14.24986658992131,1.0,11.0,1.0,0.0,2.80779902730622,0.0,0.0,0.0,,1.0,11.0,4.0383048992217926e-05,0.00010869281628161481,0.0001483113705225113,0.00011458671562156964,0.00012387187168445425,,,,,
,,1.0,12.0,1.0,112.0,9.534716218581969e-05,5.022204561439377e-05,9.519142569512869e-05,0.00012795355625253206,0.00011443299365170537,0.00012421720630472396,0.00012807975614871544,9.196921265435167e-05,9.479681926107623e-05,7.757367796425655e-05,0.00010511532691276213,,14.24986658992131,1.0,12.0,1.0,0.0,2.808993751928238,0.0,0.0,0.0,,1.0,12.0,5.022204561439377e-05,9.519142569512869e-05,0.00012795355625253206,0.00011443299365170537,0.00012421720630472396,,,,,
,,1.0,13.0,1.0,113.0,9.509565292128312e-05,7.25017571862672e-05,0.0001022760797162555,0.00011901128739971608,0.00011351486489214667,0.00012314293940460838,0.00012731992370520665,8.957728609598948e-05,9.56628478277621e-05,7.730053121086128e-05,0.00010373482543360766,,14.24986658992131,1.0,13.0,1.0,0.0,2.7481902487984047,0.0,0.0,0.0,,1.0,13.0,7.25017571862672e-05,0.0001022760797162555,0.00011901128739971608,0.00011351486489214667,0.00012314293940460838,,,,,
,,1.0,14.0,1.0,114.0,9.413153407389286e-05,8.765956291565086e-05,0.00011460065485773516,0.00011590420465838199,0.0001081854629753953,0.000123277101011381,0.0001255283187857754,8.738165746186977e-05,9.536306870852468e-05,7.648109095067547e-05,0.00010117103697232078,,14.24986658992131,1.0,14.0,1.0,0.0,2.712268446209274,0.0,0.0,0.0,,1.0,14.0,8.765956291565086e-05,0.00011460065485773516,0.00011590420465838199,0.0001081854629753953,0.000123277101011381,,,,,
,,1.0,15.0,1.0,115.0,9.297039963594895e-05,0.00010070045159874518,0.00012003601347879688,0.00011775857576996847,0.00010618532951379865,0.00012145752965595726,0.0001238086979925713,8.676368251518046e-05,9.559623024570934e-05,7.511535718369912e-05,9.92481956263556e-05,,14.24986658992131,1.0,15.0,1.0,0.0,2.679069973164485,0.0,0.0,0.0,,1.0,15.0,0.00010070045159874518,0.00012003601347879688,0.00011775857576996847,0.00010618532951379865,0.00012145752965595726,,,,,
,,1.0,16.0,1.0,116.0,9.26979312660343e-05,0.00013518132044255748,0.00014229967776193975,0.00012174035532476466,0.0001059989496924877,0.00012051785787958071,0.000124792481051009,8.823955209374437e-05,9.499667200723451e-05,7.42959169235133e-05,9.865655213528942e-05,,14.24986658992131,1.0,16.0,1.0,0.0,2.711753215468409,0.0,0.0,0.0,,1.0,16.0,0.00013518132044255748,0.00014229967776193975,0.00012174035532476466,0.0001059989496924877,0.00012051785787958071,,,,,
,,1.0,17.0,1.0,117.0,9.67262713196953e-05,0.00016897902243176013,0.00015979825218265573,0.00013566104796911514,0.0001105260184127496,0.00012365089271023066,0.00013145101272702022,9.764004157691249e-05,9.752814012523935e-05,7.784682471765182e-05,0.00010289666382126387,,14.24986658992131,1.0,17.0,1.0,0.0,3.1402168242116777,0.0,0.0,0.0,,1.0,17.0,0.00016897902243176013,0.00015979825218265573,0.00013566104796911514,0.0001105260184127496,0.00012365089271023066,,,,,
,,1.0,18.0,1.0,118.0,0.00011347678833783193,0.00021256611936411096,0.0001863987432831941,0.00013987753963345457,0.00011945669124347225,0.00012840677257528575,0.000135846043545,0.00010549922884010253,0.00011088496532681756,9.04115753738342e-05,0.00011818078734047412,,14.24986658992131,1.0,18.0,1.0,0.0,3.7778301274120674,0.0,0.0,0.0,,1.0,18.0,0.00021256611936411096,0.0001863987432831941,0.00013987753963345457,0.00011945669124347225,0.00012840677257528575,,,,,
,,1.0,19.0,1.0,119.0,0.00011704402807317584,0.00024414586598307244,0.00020354278313591793,0.00015010990311266966,0.00011606396430107664,0.00012829912589751115,0.0001343503733667248,0.0001059717979169826,0.00011474878508587758,9.286989615439163e-05,0.00012079387942601651,,14.24986658992131,1.0,19.0,1.0,0.0,3.7532803598303555,0.0,0.0,0.0,,1.0,19.0,0.00024414586598307244,0.00020354278313591793,0.00015010990311266966,0.00011606396430107664,0.00012829912589751115,,,,,
,,1.0,20.0,1.0,120.0,0.00011540921785368803,0.00025122569926669256,0.00019874392142504635,0.00015149825186679117,0.00011351558838277889,0.00012542140857184906,0.00013130704447456592,0.00010522295768746495,0.0001139160653102181,9.150416238741528e-05,0.00011901894895281791,,14.24986658992131,1.0,20.0,1.0,0.0,3.6280788601205973,0.0,0.0,0.0,,1.0,20.0,0.00025122569926669256,0.00019874392142504635,0.00015149825186679117,0.00011351558838277889,0.00012542140857184906,,,,,
,,1.0,21.0,1.0,121.0,0.00011231565389988801,0.0002444467839329796,0.0001830798133252575,0.00015341585961466039,0.00010990554833524315,0.00012037423874430012,0.00012683603041223525,0.0001027074361397649,0.0001121173905947936,8.849954810006733e-05,0.00011606073149748689,,14.24986658992131,1.0,21.0,1.0,0.0,3.4401334047589507,0.0,0.0,0.0,,1.0,21.0,0.0002444467839329796,0.0001830798133252575,0.00015341585961466039,0.00010990554833524315,0.00012037423874430012,,,,,
,,1.0,22.0,1.0,122.0,0.00010652674899447093,0.00023205761259931186,0.00016976533191653888,0.00016072521732018788,0.00010248242881021806,0.00011031571375018067,0.00011964161690764417,9.859245002416308e-05,0.00010825357083573358,8.330975978555721e-05,0.00011117967269619072,,14.24986658992131,1.0,22.0,1.0,0.0,3.1336387588213697,0.0,0.0,0.0,,1.0,22.0,0.00023205761259931186,0.00016976533191653888,0.00016072521732018788,0.00010248242881021806,0.00011031571375018067,,,,,
,,1.0,23.0,1.0,123.0,9.834431425488068e-05,0.00021552465215873202,0.00015369648932054325,0.00016962717667298407,9.567874293844617e-05,0.00010060718354798014,0.00011055162141240484,9.343054164593465e-05,0.00010135865109327299,7.566165069048966e-05,0.0001029952710697749,,14.24986658992131,1.0,23.0,1.0,0.0,9.153482960958511,0.0,0.0,0.0,,1.0,23.0,0.00021552465215873202,0.00015369648932054325,0.00016962717667298407,9.567874293844617e-05,0.00010060718354798014,,,,,
,,1.0,24.0,1.0,124.0,8.933189894231969e-05,0.00018051960020956214,0.00012465931900231363,0.00017718516701426595,9.542157816134349e-05,9.298742710043672e-05,0.00010244540897560319,8.953366433504672e-05,9.409733464952226e-05,6.965242211579372e-05,9.51559948131477e-05,,14.24986658992131,1.0,24.0,1.0,0.0,8.339235724676897,0.0,0.0,0.0,,1.0,24.0,0.00018051960020956214,0.00012465931900231363,0.00017718516701426595,9.542157816134349e-05,9.298742710043672e-05,,,,,
,,2.0,1.0,1.0,201.0,8.352203493152454e-05,0.00013825400786444256,8.72853676855158e-05,0.00018458684293665666,9.373015813680179e-05,8.981084996908648e-05,9.808637022073698e-05,8.791238888667355e-05,8.72024149070617e-05,6.582836756825995e-05,8.963398889652981e-05,,5.907525577179691,2.0,1.0,1.0,0.0,8.486424979296121,0.0,0.0,0.0,,2.0,1.0,0.0001382305318209346,8.711102539568078e-05,0.00016260465361926115,9.293046296715102e-05,8.662785537084743e-05,,,,,
,,2.0,2.0,1.0,202.0,8.028594906115382e-05,0.00010306647143687304,6.641178900151783e-05,0.0001896447547610718,9.175575547549827e-05,8.751105795425902e-05,9.578687729959198e-05,8.715627836366544e-05,8.44377852518722e-05,6.528207406146942e-05,8.623203882289913e-05,,5.907525577179691,2.0,2.0,1.0,0.0,8.233809124652364,0.0,0.0,0.0,,2.0,2.0,0.00010263965907468777,6.520177595365136e-05,0.00017037830586683227,9.144586866547942e-05,8.447110425983892e-05,,,,,
,,2.0,3.0,1.0,203.0,7.900744363309284e-05,7.108613448279196e-05,4.777877690793642e-05,0.00019367775152557903,9.078151251950922e-05,8.581348127996395e-05,9.51070272185578e-05,8.788330771271169e-05,8.357175668518631e-05,6.227745977412144e-05,8.578830620459949e-05,,5.907525577179691,2.0,3.0,1.0,0.0,8.197979790902853,0.0,0.0,0.0,,2.0,3.0,7.025498544576162e-05,4.6673733292368726e-05,0.0001785930096351106,9.027813175213346e-05,8.353458392998273e-05,,,,,
,,2.0,4.0,1.0,204.0,7.89068399272782e-05,4.782813923176933e-05,3.312931419598446e-05,0.0001967516001507922,9.144658169195385e-05,8.669060000542172e-05,9.585086318957167e-05,8.945369110665161e-05,8.19729347159201e-05,6.309690003430726e-05,8.682368231396534e-05,,5.907525577179691,2.0,4.0,1.0,0.0,8.368821574394197,0.0,0.0,0.0,,2.0,4.0,4.693508331199397e-05,3.210036366330993e-05,0.00018095296646228462,9.084759875175366e-05,8.445409271302584e-05,,,,,
,,2.0,5.0,1.0,205.0,8.155607084706357e-05,2.983281465149179e-05,2.2439314367411036e-05,0.00019881351736166845,9.455099335932055e-05,9.073712857769868e-05,0.00010016191252695311,9.53426288339263e-05,8.337190393902804e-05,6.500892730807414e-05,9.07679722544067e-05,,5.907525577179691,2.0,5.0,1.0,0.0,8.847738317391,0.0,0.0,0.0,,2.0,5.0,2.9031472701739083e-05,2.176561654228425e-05,0.00018601397805280247,9.380754481340955e-05,8.947398874910836e-05,,,,,
,,2.0,6.0,1.0,206.0,8.891271683475873e-05,1.798206921452678e-05,2.19120203432633e-05,0.00020515228206095714,0.00010087605004107728,0.00010087571099087141,0.00010992375986697916,0.00010315819433617358,8.820167863785307e-05,7.019871562258427e-05,9.934680287486665e-05,,5.907525577179691,2.0,6.0,1.0,0.0,9.844327505651815,0.0,0.0,0.0,,2.0,6.0,1.729619869459905e-05,2.1762454865821376e-05,0.00019142392967654373,0.00010031594728427864,9.944245222650008e-05,,,,,
,,2.0,7.0,1.0,207.0,9.969827246230264e-05,1.0474195987116625e-05,3.9358963101840546e-05,0.00022308588204745266,0.00010764919867250316,0.00011046649676925602,0.0001224809907754928,0.00010685877372281904,9.782791924447676e-05,7.921255848462816e-05,0.00011068663645363554,,5.907525577179691,2.0,7.0,1.0,0.0,10.11996921010613,0.0,0.0,0.0,,2.0,7.0,1.0221559857359377e-05,4.0424191765620295e-05,0.00019862424658065938,0.00010705147595279066,0.00010803515913061384,,,,,
,,2.0,8.0,1.0,208.0,0.00010579318030623923,1.5064260319984705e-05,8.374112393631136e-05,0.0002228772708150275,0.00011022344700502224,0.00011788302691877595,0.00012888357889158527,0.00010536109326378375,0.00010389011921127785,8.194402601858086e-05,0.00011680028586131965,,5.907525577179691,2.0,8.0,1.0,0.0,10.728503858118515,0.0,0.0,0.0,,2.0,8.0,1.4965833736730486e-05,8.661883484892858e-05,0.00019460800331671312,0.00010978182712329244,0.00011531378886294369,,,,,
,,2.0,9.0,1.0,209.0,0.00011070180278577827,3.0289518737434227e-05,0.00013244802915067107,0.00020470545648436142,0.00011255995545170398,0.00012157978934618968,0.00012882759123785303,0.00010323816756456867,0.00011078503895373842,8.713381433309098e-05,0.00011877243083154032,,5.907525577179691,2.0,9.0,1.0,0.0,3.553652709493364,0.0,0.0,0.0,,2.0,9.0,3.067293703616233e-05,0.00013760107400897432,0.00017928559952703512,0.00011194649421214698,0.00011912207848326706,,,,,
,,2.0,10.0,1.0,210.0,0.00011379536673957829,3.402034177511004e-05,0.00013118622535911875,0.00017613045442402915,0.00011411420275477293,0.00012348510410421326,0.00012792778966001369,0.00010194405532326634,0.0001157147400256426,9.013842862043894e-05,0.00012054736130473893,,5.907525577179691,2.0,10.0,1.0,0.0,3.6670566243001326,0.0,0.0,0.0,,2.0,10.0,3.399149013964571e-05,0.0001355522389289386,0.0001532094416257725,0.00011346745935127531,0.00012095109777848724,,,,,
,,2.0,11.0,1.0,211.0,0.00011615955382622216,4.0383048992217926e-05,0.00010869281628161481,0.0001483113705225113,0.00011458671562156964,0.00012387187168445425,0.000127967780841251,0.00010035913134234548,0.0001188124575910959,9.286989615439163e-05,0.00012104039754729411,,5.907525577179691,2.0,11.0,1.0,0.0,3.711322527009213,0.0,0.0,0.0,,2.0,11.0,4.0178539045528565e-05,0.00011102838615026245,0.00012930326821858126,0.00011390286419220889,0.0001215617774533265,,,,,
