Year-by-Year Levelized Resource Costs,,,,,,,,,,,,,,,,,,,,
Values hard-coded by macro,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Fixed Costs,,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
,Capital,Biogas - Distributed,926.9326712432414,945.9996199706309,965.6499363502636,987.7957934623628,1006.6531583711301,1027.9810963902717,1027.9810963902721,1027.9810963902721,1027.9810963902721,1027.9810963902721,1027.9810963902721,1027.9810963902721,1027.9810963902721,1027.9810963902721,1027.9810963902721,1027.9810963902721,1027.9810963902721,1027.9810963902721
,($/kW-yr),Biomass - Distributed,583.9398719443019,596.8867219112304,610.1117725245098,623.5808175162613,622.6720567244104,635.8645957053228,635.864595705323,635.864595705323,635.864595705323,635.864595705323,635.864595705323,635.864595705323,635.864595705323,635.864595705323,635.864595705323,635.864595705323,635.864595705323,635.864595705323
,,Biomass - Large,556.0452027800393,568.3861429821337,580.9680525392018,593.8011068449572,592.8366836149897,605.3971012111291,605.3971012111293,605.3971012111293,605.3971012111293,605.3971012111293,605.3971012111293,605.3971012111293,605.3971012111293,605.3971012111293,605.3971012111293,605.3971012111293,605.3971012111293,605.3971012111293
,,Geothermal,433.1772751271069,443.2266961605969,453.5417859467978,463.9489446512988,454.6989835339246,466.3224847079801,466.3224847079801,466.3224847079801,466.3224847079801,466.3224847079801,466.3224847079801,466.3224847079801,466.3224847079801,466.3224847079801,466.3224847079801,466.3224847079801,466.3224847079801,466.3224847079801
,,Hydro - Small,486.3044039671436,493.89477958362454,501.7205439360281,509.7769521374651,518.0590535293798,526.5617172358864,526.5617172358866,526.5617172358866,526.5617172358866,526.5617172358866,526.5617172358866,526.5617172358866,526.5617172358866,526.5617172358866,526.5617172358866,526.5617172358866,526.5617172358866,526.5617172358866
,,Solar Thermal - No Storage,541.9227456407011,554.5659293011768,558.818606115709,567.2447271915432,575.677102569315,584.1071687826569,579.4467392444974,574.7863097063376,570.1258801681784,565.4654506300188,557.7371195835175,549.4498777718605,528.3195929140646,523.8549202978892,519.3902476817141,514.925575065539,510.46090244936363,505.99622983318864
,,Solar Thermal - Storage,739.7543813196394,757.0105434566941,762.8033590956926,774.2976500993084,785.8000007118503,797.2987379020344,790.9323318220278,784.5659257420208,777.2127564413968,769.8595871407724,758.3546144363818,746.1068335045309,716.5611874119398,709.5436724445987,702.5261574772576,695.5086425099163,688.4911275425752,681.4736125752343
,,Solar PV - Parking Lot,207.05965085148037,212.17362864416359,217.38007938918287,222.7035660284077,222.30945641156478,222.40635479198525,217.73459019586952,213.48172766214887,210.01308744055214,206.92362687696203,203.36559179937424,199.9239116158425,193.2439046284899,190.5856585708258,187.64020529129513,184.9027541062193,182.3484183911218,179.95638644709692
,,Solar PV - Commercial Rooftop,245.91436498924023,251.98752912172935,258.2005056625843,264.49148783241264,263.8185065640309,263.7734428914896,258.03089951159944,252.83004177770775,248.61736395483368,244.83881048469962,240.50177598612527,236.34292260965668,228.35163999829635,225.189906492371,221.74639593758124,218.5454535248048,215.55809737741382,212.76008656167917
,,Solar PV - Residential Rooftop,274.32175606647746,281.12924866903245,288.02634875039956,295.04357945815036,294.2923270146319,294.24145112138206,287.8676899457579,282.0341818777138,277.3349019387686,273.1198916135027,268.3238667319961,263.65603173279356,254.69990615194598,251.17335724149066,247.33251854576363,243.76223662382074,240.43018553634624,237.30932731879597
,,Solar PV - Fixed Tilt - 1MW,188.1901579273195,192.8384636631162,197.59469163572606,202.41032389665446,204.49594759381924,206.84138944131283,204.520240024645,202.38712028736964,200.6447717036712,199.0478465883872,196.89838691631493,194.67671582551836,189.2348383010158,187.30764309275122,184.8056831285042,182.4795391492744,180.3081907244724,178.2740599315151
,,Solar PV - Fixed Tilt - 5MW,174.78272123968503,179.10004198721333,183.49565210878453,187.99069043204707,189.92810728467154,192.10688915740297,189.9510885465585,187.94833734267635,186.33029208904298,184.8683994511831,182.8428415494165,180.7993181626237,175.7179322974403,173.92839523243595,171.60514843731295,169.44515922007258,167.42890862409837,165.54007430495233
,,Solar PV - Fixed Tilt - 10MW,159.78407680171767,163.73125818551011,167.77067542872226,171.8603370067887,173.6322120610746,175.62484497623677,173.65400390052164,171.84281502683137,170.3436239453418,169.00715800112988,167.17095950124437,165.29780520668177,160.67901016387563,159.04263167650674,156.8672318296531,154.8927483577066,153.04965884351938,151.32304274996133
,,Solar PV - Fixed Tilt - 20MW+,154.25489221167854,158.0853527308374,161.96566482769995,165.91411348665955,167.81222921812343,169.91154353866958,168.16344144295408,166.55694810117848,165.24475200179836,164.05919194851506,162.3555588066373,160.62497315434948,156.19710381908038,154.59266137936083,152.4362330735411,150.4324734832509,148.56305851704062,146.81267272223343
,,Solar PV - Tracking - 1MW,181.8909057791247,186.38361969112898,190.9806433801369,195.6350829294024,197.56000413086312,199.7418604047102,197.42336580415784,195.2703918128811,193.5302347151294,191.9580148750411,189.80987772090336,187.64858149037116,182.36200012920253,180.51145579415225,178.14468879848712,175.9436870723386,173.88866638335767,171.96307881182162
