Electric Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO Workplace Charger Availability,Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EV Charging Flexibility,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Metric,Inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Charging Efficiency,0.9219544457292888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2030 EV Efficiency (kWh/mi),0.20161290322580647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2030 Battery Size (kWh),30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2030 VMT (mi/yr/vehicle),12798.6374236982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Charger Size (kW),3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Minimum SOC,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Demand per Vehicle (MWh/yr/vehicle),2.58037044832625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EV Charging Assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EV Total Load,232.0060429480954,340.9949282399914,483.43584763138017,772.6340779108665,1171.9002913564261,1570.0874069278084,1734.110283802741,2154.958454731844,2777.5979281320815,3556.7065932880114,4424.301284126471,5321.0316175677135,6203.733678644653,7144.707024927161,8131.002481925111,9153.987266645085,10068.846444372504,10983.705622099924,11898.564799827342,12813.423977554761,13728.28315528218,14643.1423330096,15558.001510737018,16472.86068846444,17387.719866191856,18302.579043919275,19217.438221646695,20132.297399374114,21047.156577101534,21962.015754828954,22876.874932556373,23791.734110283793,24706.59328801121,25621.45246573863,26536.311643466048,27451.170821193467
,,EV Home Charging,232.0060429480954,334.1750296751916,464.09841372612493,726.2760332362145,1078.148268047912,1413.0786662350276,1526.017049746412,1853.2642710693858,2333.1822596309485,2916.4994064961697,3539.4410273011767,4150.404661702817,4714.837595769936,5287.083198446099,5854.32178698608,6407.7910866515585,7048.192511060753,7688.593935469946,8328.995359879138,8969.396784288332,9609.798208697526,10250.19963310672,10890.601057515913,11531.002481925107,12171.403906334299,12811.805330743491,13452.206755152685,14092.60817956188,14733.009603971073,15373.411028380266,16013.81245278946,16654.213877198654,17294.615301607846,17935.01672601704,18575.41815042623,19215.819574835426
,,EV Home and Work Charging,0.0,6.8198985647998285,19.337433905255207,46.358044674651985,93.7520233085141,157.00874069278086,208.09323405632887,301.6941836624582,444.41566850113304,640.207186791842,884.8602568252942,1170.626955864897,1488.8960828747165,1857.623826481062,2276.680694939031,2746.196179993525,3020.653933311751,3295.111686629977,3569.569439948202,3844.027193266428,4118.484946584654,4392.94269990288,4667.400453221106,4941.858206539332,5216.315959857557,5490.773713175782,5765.231466494009,6039.689219812234,6314.14697313046,6588.604726448686,6863.062479766912,7137.520233085138,7411.977986403363,7686.435739721588,7960.893493039814,8235.35124635804
,,Inflexible EV Charging Load,232.0060429480954,340.9949282399914,483.43584763138017,772.6340779108665,1171.9002913564261,1570.0874069278084,1734.110283802741,2154.958454731844,2777.5979281320815,3556.7065932880114,4424.301284126471,5321.0316175677135,6203.733678644653,7144.707024927161,8131.002481925111,9153.987266645085,10068.846444372504,10983.705622099924,11898.564799827342,12813.423977554761,13728.28315528218,14643.1423330096,15558.001510737018,16472.86068846444,17387.719866191856,18302.579043919275,19217.438221646695,20132.297399374114,21047.156577101534,21962.015754828954,22876.874932556373,23791.734110283793,24706.59328801121,25621.45246573863,26536.311643466048,27451.170821193467
,,EV Home Charging,232.0060429480954,334.1750296751916,464.09841372612493,726.2760332362145,1078.148268047912,1413.0786662350276,1526.017049746412,1853.2642710693858,2333.1822596309485,2916.4994064961697,3539.4410273011767,4150.404661702817,4714.837595769936,5287.083198446099,5854.32178698608,6407.7910866515585,7048.192511060753,7688.593935469946,8328.995359879138,8969.396784288332,9609.798208697526,10250.19963310672,10890.601057515913,11531.002481925107,12171.403906334299,12811.805330743491,13452.206755152685,14092.60817956188,14733.009603971073,15373.411028380266,16013.81245278946,16654.213877198654,17294.615301607846,17935.01672601704,18575.41815042623,19215.819574835426
,,EV Home and Work Charging,0.0,6.8198985647998285,19.337433905255207,46.358044674651985,93.7520233085141,157.00874069278086,208.09323405632887,301.6941836624582,444.41566850113304,640.207186791842,884.8602568252942,1170.626955864897,1488.8960828747165,1857.623826481062,2276.680694939031,2746.196179993525,3020.653933311751,3295.111686629977,3569.569439948202,3844.027193266428,4118.484946584654,4392.94269990288,4667.400453221106,4941.858206539332,5216.315959857557,5490.773713175782,5765.231466494009,6039.689219812234,6314.14697313046,6588.604726448686,6863.062479766912,7137.520233085138,7411.977986403363,7686.435739721588,7960.893493039814,8235.35124635804
,,Flexible EV Charging Load,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,EV Home Charging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,EV Home and Work Charging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Implied 2030 EVS (no.),2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,Total Evs,83321.3696659172,122463.0363461853,173618.48190851585,277479.53805021726,420869.802126447,563872.5249484164,622778.7955959486,773919.8847573797,997531.1884654459,1277335.9740412238,1588919.142466328,1910965.9247564545,2227974.6707412,2565910.64445599,2920123.350849703,3287512.459888259,3616069.9352499545,3944627.41061165,4273184.885973345,4601742.361335041,4930299.8366967365,5258857.312058432,5587414.787420128,5915972.262781824,6244529.738143519,6573087.213505214,6901644.6888669105,7230202.164228605,7558759.639590301,7887317.114951996,8215874.590313693,8544432.065675387,8872989.541037083,9201547.016398778,9530104.491760474,9858661.96712217
,,EVs with Flexible Charging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Flexible EV Home Charging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Flexible EV Home and Work Charging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EV Driving Demand Shapes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Note: This is only used when a non-zero fraction of the EV charging demand is flexible. If it is inflexible, the provided EV demand shape is used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Home Only,Home Only,Home & Work,Home & Work,Home Only,Home Only,Home & Work,Home & Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hour,Normalized Demand (MWh/[MWh EV load]),% Plugged in,Normalized Demand (MWh/[MWh EV load]),% Plugged in,"Driving Demand, at battery level (MWh/[MWh EV load])",Charging Capacity (MW/[MWh EV load]),"Driving Demand, at battery level (MWh/[MWh EV load])",Charging Capacity (MW/[MWh EV load]),,,,,,,,,,,,,,,,,,,,,,,,,,,,
