,Performance Inputs,,,Units,Active,User Override,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biogas - Distributed,,3.0,2013.0,,CAISO_CCGT1,Gas - CCGT
,,,"Installed Cost, 2015",$/kW-ac,10004.580000000002,,,10004.580000000002,6188.400000000001,5891.882401440001,5063.0,4039.5603599999995,6215.860589754475,8483.379005185187,2629.0,3121.580547112462,3481.7629179331307,2390.0,2220.0,2030.0,1960.0,2310.0,2160.0,2010.0,1950.0000000000002,2037.4983913130907,2529.7103358133922,229.3771722,710.6194748,2364.957741,326.2692536,1306.6666666666667,130.66666666666666,1300.0,950.0,1250.0,1250.0,,,,,,,,Solar PV - Residential Rooftop,,0,2022.0,,CAISO_New_Flow_Battery,Battery - Flow [Capacity]
,,,"(DC Installed Cost, 2013)",$/kW-dc,n/a,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2189.7240506329113,2600.0,2900.0,1707.142857142857,1585.7142857142858,1450.0,1400.0,1776.9230769230767,1661.5384615384614,1546.153846153846,1500.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,Solar PV - Fixed Tilt - 1MW,,,2023.0,,CAISO_Existing_Pumped_Storage,Pumped Storage [Capacity]
,,,"(DC Installed Cost, 2015)",$/kW-dc,n/a,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2189.7240506329113,2600.0,2900.0,1707.142857142857,1585.7142857142858,1450.0,1400.0,1776.9230769230767,1661.5384615384614,1546.153846153846,1500.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,Solar PV - Fixed Tilt - 5MW,,,2024.0,,CAISO_New_Li_Battery,Battery - Li [Capacity]
,Interconnection Costs,,Interconnection Cost,$/kW,0.0,,,0.0,0.0,200.0,259.5,167.51,82.52,82.52,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,136.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,,,,,,,,Solar PV - Fixed Tilt - 10MW,,,2025.0,,CAISO_New_Pumped_Storage,Pumped Storage [Capacity]
,Fixed O&M,,Annual Fixed O&M,$/kW-yr,442.0,,,442.0,523.0,185.656562,200.0,30.602729999999994,67.32000000000001,67.32000000000001,31.900000000000002,32.642911999999995,32.642911999999995,29.0,26.0,23.0,22.0,34.0,30.0,28.0,26.0,32.8,32.1,2.293771722,7.106194748,59.12394352500001,8.15673134,23.52,0.0,10.0,6.0,12.0,12.0,,,,,,,,Solar PV - Fixed Tilt - 20MW+,,,2026.0,,,
,,,Annual Escalation,%/yr,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,Solar PV - Tracking - 1MW,,,2027.0,,,
,Variable O&M,,Variable O&M,$/MWh,0.0,,,0.0,0.0,9.08901081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,3.83,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,5.0,5.0,5.0,5.0,,,,,,,,Solar PV - Tracking - 5MW,,,2028.0,,,
,,,Annual Escalation,%/yr,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,Solar PV - Tracking - 10MW,,,2029.0,,,
,Fuel Costs,,Fuel Type,,Waste,,,Waste,Wood,Wood,,,,,,,,,,,,,,,,,,,,,,,,Gas,Gas,Gas,Gas,,,,,,,,Solar PV - Tracking - 20MW+,,,2030.0,,,
,,,Unit Fuel Cost,$/MMBtu,-5.0,,,-5.0,2.34,2.3870129399999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Wind,,,,,,
