Operating Reserve Assumptions,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2030 Load Following Reserves,,50% High Solar,,,,,,,,,,,,,,,,
,,Use REFLEX for downward reserves,,1.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Load Following Subhourly Dispatch Fraction,,0.2,,,,,,,,,,,,,,,,
,,Regulation Subhourly Dispatch Fraction,,0.2,,,,,,,,,,,,,,,,
,,Frequency Response - Total (MW),,770.0,,,,,,,,,,,,,,,,
,,Frequency Response - Partial (MW),,385.0,,,,,,,,,,,,,,,,
,,Minimum Gen Commitment (MW),,0.0,,,,,,,,,,,,,,,,
,,Thermal Frequency Response Commit Fraction,,0.08,,,,,,,,,,,,,,,,
,,Regulation Reserve Fraction of Load,,0.01,,,,,,,,,,,,,,,,
,,Spin Reserve Fraction of Load,,0.03,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,REFLEX Surfaces,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Scenario,Facet Number,Slope,Intercept,,% of LF Down Provided by Thermal,Addtl. Subhourly Curtailment,,,,,,,,,,,,
,,Reflex Surfaces- ON,1.0,-0.7084622373859897,0.344634015554508,,0.0,0.344634015554508,,,,,,,,,,,,
,,,2.0,-0.40043508045095033,0.2676272263207482,,0.1,0.27378779181590907,,,,,,,,,,,,
,,,3.0,-0.19470235394776098,0.1647608630691535,,0.2,0.20294156807731006,,,,,,,,,,,,
,,,4.0,-0.07493639043333106,0.07493639043333106,,0.30000000000000004,0.14749670218546307,,,,,,,,,,,,
,,Reflex Surfaces - OFF,1.0,-999999.0,999999.0,,0.4,0.10745319414036805,,,,,,,,,,,,
,,,2.0,-999999.0,999999.0,,0.5,0.06740968609527304,,,,,,,,,,,,
,,,3.0,-999999.0,999999.0,,0.6,0.04793945070049692,,,,,,,,,,,,
,,,4.0,-999999.0,999999.0,,0.7,0.02846921530572083,,,,,,,,,,,,
,,Active: 1,1.0,-0.7084622373859897,0.344634015554508,,0.7999999999999999,0.014987278086666216,,,,,,,,,,,,
,,,2.0,-0.40043508045095033,0.2676272263207482,,0.8999999999999999,0.007493639043333111,,,,,,,,,,,,
,,,3.0,-0.19470235394776098,0.1647608630691535,,0.9999999999999999,1.3877787807814457e-17,,,,,,,,,,,,
,,,4.0,-0.07493639043333106,0.07493639043333106,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Load Following Reserve Requirements,,,,,,,,,,,,,,,,,,,
