Planning Reserve Margin Calculations - CAISO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Peaker2,0.9760304046246883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Advanced_CCGT,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Aero_CT,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Reciprocating_Engine,0.9974124809741246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_ST,0.9995633326138058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Shed_DR_Existing,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Shed_DR_Tranche1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Shed_DR_Tranche2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Shed_DR_Tranche3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Shed_DR_Tranche4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Shed_DR_Tranche5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Shed_DR_Tranche6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Shed_DR_Tranche7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Shed_DR_Tranche8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Biomass_for_Other,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Geothermal_for_Other,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Small_Hydro_for_Other,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Biomass_for_CAISO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Geothermal_for_CAISO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Small_Hydro_for_CAISO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Greater_Imperial_Geothermal,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Northern_California_Geothermal,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,InState_Biomass,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Hydro,0.8457644398989712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Storage NQC Characterization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Storage Duration for Full Capacity Credit (hrs),4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ELCC surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,elcc_surface_facet,solar_coefficient,wind_coefficient,facet_intercept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.0,1.184527568,0.390434851,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,1.294442967,0.307998302,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.0,0.496016609,0.49789906,0.051638322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.0,0.639302222,0.390434851,0.040891901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5.0,0.086060626,0.51697153,0.113131719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6.0,0.111490585,0.49789906,0.109317226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7.0,0.029914878,0.521190691,0.125764513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8.0,0.035540425,0.51697153,0.124498765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9.0,1.294442967,0.27782882,0.003016948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10.0,1.342019418,0.242146481,0.006585182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11.0,0.639302222,0.329577959,0.04697759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12.0,0.708301075,0.27782882,0.04697759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13.0,0.111490585,0.339932688,0.125113863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14.0,0.12529689,0.329577959,0.12407839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15.0,0.035540425,0.340597343,0.142136183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16.0,0.036426633,0.339932688,0.142003252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
