"Levelized Cost Calculation - Biogas - Distributed, IPP Financing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Resource Cost, Performance, & Financing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,System Cost,,,Income Tax Assumptions,,,,,Periodic Replacement,,,,Outputs,,$/MWh,$/kW-yr,,check,= 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capital Costs,-10004580.000000002,-788329.5183691657,763302.8829296455,18066.29208339192,-586761.8390807346,-1079004.8577898159,-1484515.4592605024,-1688687.7664513527,-1733218.6922325958,-1778518.7704395414,-1830692.7424932367,-2530924.037561264,-3236421.893768238,-3296493.71665005,-3360271.9710036702,-3427985.343650908,-3499876.6313904813,-3576203.611583586,-3657239.966454605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
,Interconnection Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,WACC,0.07579999999999999,,,,,,,,,,,,,,,
,Property Tax & Insurance,,-302388.4305000001,-287269.00897500006,-272149.58745000005,-257030.16592500004,-241910.74440000005,-226791.32287500004,-211671.90135000003,-196552.47982500005,-181433.05830000003,-166313.63677500005,-151194.21525000004,-136074.79372500003,-120955.37220000003,-105835.95067500001,-90716.52915000003,-75597.10762500002,-60477.6861,-45358.264575000016,-30238.84305,-15119.421525000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
,Investment Tax Credit,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Target DSCR,1.4,,,,,,,,,,,,,,,
,Fixed Operations & Maintenance,,-1362663.9000000001,-1389917.178,-1417715.52156,-1446069.8319911999,-1474991.228631024,-1504491.0532036445,-1534580.8742677171,-1565272.4917530715,-1596577.941588133,-1628509.5004198959,-1661079.6904282935,-1694301.2842368595,-1728187.3099215967,-1762751.0561200287,-1798006.077242429,-1833966.1987872778,-1870645.5227630236,-1908058.4332182838,-1946219.6018826494,-1985143.9939203027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
,Periodic Replacement,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,First,Debt %,Equity %,Equity Return,,Capital,Interconnection,Prop Tax/Ins,ITC,Fixed O&M,Per Repl,Var O&M,Fuel,Carbon,PTC,LCOE,DSCR
,Variable Operations & Maintenance,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Iteration,0.0,1.0,0.07579999999999999,,125.49454437046326,0.0,6.894556771434614,0.0,56.0629122272958,0.0,0.0,-50.000000000000014,0.0,-11.465727557763113,126.98628581143053,99.99
,Fuel,,1215298.8900000001,1239604.8678000001,1264396.965156,1289684.90445912,1315478.6025483026,1341788.1745992685,1368623.9380912536,1395996.4168530789,1423916.3451901407,1452394.6720939435,1481442.565535822,1511071.4168465387,1541292.8451834691,1572118.7020871388,1603561.0761288814,1635632.2976514592,1668344.9436044884,1701711.842476578,1735746.0793261095,1770461.0009126319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.1,0.9,0.08007803888888888,,125.53230710221384,0.0,6.9747854762733965,0.0,56.06291222729582,0.0,0.0,-50.00000000000003,0.0,-11.63316440984032,126.9368403959427,11.741303495282292
,Carbon Cost,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.2,0.8,0.08542558749999998,,125.56277072948743,0.0,7.0738515591963855,0.0,56.06291222729578,0.0,0.0,-50.00000000000001,0.0,-11.838948224057146,126.86058629192244,5.866754309862419
,Production Tax Credit,,442292.4,451138.248,460161.01295999996,469364.2332192,478751.51788358396,488326.54824125575,498093.0792060807,508054.9407902024,518216.0396060064,528580.3603981265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.30000000000000004,0.7,0.09230100714285713,,125.57606972457374,0.0,7.19914220928892,0.0,56.0629122272958,0.0,0.0,-50.00000000000001,0.0,-12.097593736928623,126.74053042422986,3.907078741296497
,Total,-10004580.000000002,-795790.5588691657,776859.8117546454,52759.161189391976,-530812.6993186143,-1001676.7103889533,-1385683.1124986224,-1568223.5247717358,-1590992.3061673865,-1614397.3855315275,-1644540.8471960623,-2861755.3777037356,-3555726.5548835592,-3604343.553588178,-3656740.2757115597,-3713146.873914456,-3773807.6401512995,-3838981.876842121,-3908944.821771311,-240712.36560653988,-229802.41453267098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.4,0.6,0.10146823333333332,,125.55184006776805,0.0,7.362380128114232,0.0,56.06291222729579,0.0,0.0,-50.00000000000001,0.0,-12.431687826674743,126.54544459650332,2.925323521850343
,Total Fixed Cost,-10004580.000000002,-2453381.848869166,-913883.3040453547,-1671798.816926608,-2289861.8369969344,-2795906.83082084,-3215797.8353391467,-3434940.54206907,-3495043.6638106676,-3556529.7703276747,-3625515.8796881326,-4343197.943239558,-5066797.971730098,-5145636.398771647,-5228858.9777986985,-5316707.950043337,-5409439.937802759,-5507326.8204466095,-5610656.664247889,-1976458.4449326494,-2000263.4154453028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5,0.5,0.11430234999999998,,125.44581347428222,0.0,7.583212149829043,0.0,56.062912227295804,0.0,0.0,-50.00000000000001,0.0,-12.877988147175316,126.21394970423175,2.333481578493892
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.4,0.13355352499999995,,125.1545327872808,0.0,7.896791532150776,0.0,56.06291222729581,0.0,0.0,-50.000000000000036,0.0,-13.49913470959477,125.6151018371326,1.9343653736156972
,Discount Rate,0.20569549019607836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.30000000000000004,0.1656388166666666,,124.41296694668233,0.0,8.370826780356316,0.0,56.06291222729579,0.0,0.0,-50.0,0.0,-14.404840843142235,124.44186511119219,1.6408944568627115
,NPV Energy,187095.36149979054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7999999999999999,0.20000000000000007,0.2298093999999999,,122.48223444320949,0.0,9.143379386294212,0.0,56.06291222729579,0.0,0.0,-49.99999999999999,0.0,-15.76800815618681,121.92051790061267,1.4035653874905631
,NPV Capacity,23731.01997714238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8999999999999999,0.10000000000000009,0.42232114999999953,,117.70666414284251,0.0,10.46333842905043,0.0,56.0629122272958,0.0,0.0,-50.0,0.0,-17.564923521000193,116.66799127818854,1.1879552619881215
,Levelized All-In Costs ($/MWh),121.92051790061265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999999999999999,0.0,346798338225776.8,,7,7,7,7,7,7,7,7,7,7,7,-99.99
,Levelized Fixed Costs ($/MWh),187.68852605679947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Variable Cost Pass Through,,-69.56079404466502,-70.95200992555831,-72.37105012406948,-73.81847112655086,-75.29484054908188,-76.80073736006354,-78.33675210726479,-79.90348714941008,-81.50155689239828,-83.13158803024626,-62.1687154197326,-63.41208972812726,-64.6803315226898,-65.9739381531436,-67.29341691620647,-68.6392852545306,-70.01207095962121,-71.41231237881364,-72.8405586263899,-74.29736979891771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
