RPS and GHG Assumptions - CAISO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2030 RPS,50% by 2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GHG Target,Very Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Banking,Specified Bank Redemption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Count Storage Losses as RPS Curtailment?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Allow Hydro Spill?,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Require Overbuild?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Allow Scheduled Curtailment?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Renewable Portfolio Standard Assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50% by 2030,IOU load forecast, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,146,1167,4044,5668,8441, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,60% by 2030,IOU load forecast, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,536,2864,6522,10263,14110,18717, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,Active: Specified Bank Redemption - 50% by 2030,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,146,1167,4044,5668,8441, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Optimized Banking - Input Assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Historical Bank - up to 2016 (GWh),, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Curtailment Cost ($/MWh),,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,,CAISO,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,BANC,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
,,IID,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
,,LDWP,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
,,NW,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
,,SW,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Unbundled RPS Resource Fraction Limit (PCC2 and PCC3),,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,,Maximum fraction,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
