,,,,GENERATORS,,,,,,,,,,,,,,,,,,,,RENEWABLES,,,,,,,RENEWABLES - OUTUPT TABLE,,,,,,,,,,,,,,,,,,,,STORAGE,,,,,STORAGE - OUTPUT TABLE,,,,,,,,,,,,,,,,,,,,ANNUAL LOAD,,,,,,,,,,,DR 1-in-2 Load Impact (MW @ Transmission Level),,,
,,Index,Hydro/PS,Name,Area,RESOLVE Plant Type,Resource Begin Date,Resource End Date,Capacity,Must Run,Minimum Capacity,Heat Rate at Maximum,Heat Rate at Minimum,Ramp Rate Up,Ramp Rate down,Variable O&M,Forced Outage,Start Up Costs,Min Up Time,Min Down Time,Hourly Shaping Factor,Recharge Capacity,,BA,Tech,Vintage,Label,Capacity,,Index,Name,Area,Plant Type,Resource Begin Date,Resource End Date,Capacity,Must Run,Minimum Capacity,Heat Rate at Maximum,Heat Rate at Minimum,Ramp Rate Up,Ramp Rate down,Variable O&M,Forced Outage,Start Up Costs,Min Up Time,Min Down Time,Hourly Shaping Factor,Recharge Capacity,,Tech,Vintage,Capacity,,Index # of Relevant Entry,Name,Area,Plant Type,Resource Begin Date,Resource End Date,Capacity,Must Run,Minimum Capacity,Heat Rate at Maximum,Heat Rate at Minimum,Ramp Rate Up,Ramp Rate down,Variable O&M,Forced Outage,Start Up Costs,Min Up Time,Min Down Time,Hourly Shaping Factor,Recharge Capacity,,Year,Baseline Consumption,Electric Vehicles,Other Electrification,Behind-the-Meter PV,Other On-Site Self Generation,Energy Efficiency,TOU Effects,Losses,System Load,,Utilities,PG&E,SCE,SDGE
,10.0,17.0,1.0,ALLGNY_6_HYDRO1,CAISO,CAISO_Hydro,41976.0,55153.0,0.52,,,,,,,,,,,,,,,BANC,Biomass,2024.0,BANC_Biomass_2024,0.0,,146.0,CAISO_Small_Hydro_2016,CAISO,Small_Hydro,42736.0,55153.0,52.518,,,,,,,,,,,,,,,CAISO_Existing_Pumped_Storage,2024.0,0.0,,,,,,,,,,,,,,,,,,,,,,10.0,2024.0,249408.2728095331,3296.0,704.9638684974715,-16796.1673,-13974.36111925801,-19904.616441788552,-99.56468870907602,16027.960330746253,218662.48745902118,,2024.0,541.2,1019.4,56.46
,11.0,18.0,0.0,GLNARM_7_UNIT 2,CAISO,CAISO_Peaker2,27760.0,55153.0,22.3,0.0,6.69,18598.769849574885,48936.232831916284,116.67756703727927,116.67756703727927,5.0,,756.4870274689341,1.0,1.0,,,,BANC,Biomass,2025.0,BANC_Biomass_2025,0.0,,209.0,CAISO_Solar_Pre2016,CAISO,Solar,42370.0,55153.0,6791.969947999999,,,,,,,,,,,,,,,CAISO_Existing_Pumped_Storage,2025.0,0.0,,,,,,,,,,,,,,,,,,,,,,11.0,2025.0,251465.0844443085,4100.0,848.5880797760359,-18426.6173,-14020.362204960049,-22023.366095523277,-99.7911917322303,15965.3945927981,217808.9303246671,,2025.0,541.2,1019.4,56.46
,12.0,19.0,0.0,OGROVE_6_PL1X2,CAISO,CAISO_Peaker2,40346.0,55153.0,48.0,0.0,21.6,16186.966666666669,26399.81481481481,307.20000000000005,307.20000000000005,5.0,,5241.134400000001,1.0,1.0,,,,BANC,Biomass,2026.0,BANC_Biomass_2026,0.0,,210.0,CAISO_Solar_2016,CAISO,Solar,42736.0,55153.0,3207.15548,,,,,,,,,,,,,,,CAISO_Existing_Pumped_Storage,2026.0,0.0,,,,,,,,,,,,,,,,,,,,,,12.0,2026.0,253445.344484677,4931.0,917.2299131972284,-20190.592299999997,-14058.015789316203,-24129.741344299542,-99.98322591769814,15884.058723880848,216699.30046222164,,2026.0,541.2,1019.4,56.46
,13.0,34.0,0.0,OGROVE_6_PL1X2,CAISO,CAISO_Peaker2,40346.0,55153.0,48.0,0.0,21.6,16186.966666666669,26399.81481481481,307.20000000000005,307.20000000000005,5.0,,5241.134400000001,1.0,1.0,,,,BANC,Biomass,2027.0,BANC_Biomass_2027,0.0,,211.0,CAISO_Solar_2017,CAISO,Solar,43101.0,55153.0,372.80596,,,,,,,,,,,,,,,CAISO_Existing_Pumped_Storage,2027.0,0.0,,,,,,,,,,,,,,,,,,,,,,13.0,2027.0,255408.1854772982,5749.0,991.4241476098022,-22005.323800000002,-14095.869390395728,-26184.932314578735,-100.2014947930179,15800.771896431208,215563.05452157173,,2027.0,541.2,1019.4,56.46
,14.0,35.0,0.0,INDIGO_1_UNIT 2,CAISO,CAISO_Peaker2,37153.0,55153.0,44.53,0.0,20.038500000000003,16151.6626984127,26404.018694885362,158.32888888888888,158.32888888888888,5.0,,1510.6000960000001,1.0,1.0,,,,BANC,Biomass,2028.0,BANC_Biomass_2028,0.0,,212.0,CAISO_Solar_2018,CAISO,Solar,43466.0,55153.0,225.20972000000003,,,,,,,,,,,,,,,CAISO_Existing_Pumped_Storage,2028.0,0.0,,,,,,,,,,,,,,,,,,,,,,14.0,2028.0,257502.50489004597,6621.0,1074.6808459117412,-23609.767580000003,-14095.869390395728,-28313.430241915423,-100.44446551181554,15746.699912011734,214825.37397014644,,2028.0,541.2,1019.4,56.46
,15.0,36.0,0.0,INDIGO_1_UNIT 3,CAISO,CAISO_Peaker2,37153.0,55153.0,43.69,0.0,19.6605,16151.6626984127,26404.018694885362,155.3422222222222,155.3422222222222,5.0,,1482.1046079999999,1.0,1.0,,,,BANC,Biomass,2029.0,BANC_Biomass_2029,0.0,,213.0,CAISO_Solar_2019,CAISO,Solar,43831.0,55153.0,1204.5669199999998,,,,,,,,,,,,,,,CAISO_Existing_Pumped_Storage,2029.0,0.0,,,,,,,,,,,,,,,,,,,,,,15.0,2029.0,259613.99749477432,7535.0,1157.9375442136802,-25214.211360000005,-14095.869390395728,-30441.92816925211,-100.69472862929008,15697.307824472973,214151.5392151838,,2029.0,541.2,1019.4,56.46
,16.0,37.0,0.0,MNDALY_7_UNIT 3,CAISO,CAISO_Peaker2,25659.0,44196.0,130.0,0.0,39.0,15937.152519893896,19478.542882404956,120.0,120.0,5.0,,14194.74,1.0,1.0,,,,BANC,Biomass,2030.0,BANC_Biomass_2030,0.0,,214.0,CAISO_Solar_2020,CAISO,Solar,44197.0,55153.0,580.884,,,,,,,,,,,,,,,CAISO_Existing_Pumped_Storage,2030.0,0.0,,,,,,,,,,,,,,,,,,,,,,16.0,2030.0,261742.80410979444,8483.0,1241.1942425156192,-26818.655140000006,-14095.869390395728,-32570.426096588795,-100.9523439423196,15651.973984520762,213533.06936590397,,2030.0,541.2,1019.4,56.46
,17.0,38.0,0.0,MKTRCK_1_UNIT 1,CAISO,CAISO_Peaker2,33527.0,55153.0,47.49,0.0,47.015100000000004,15207.645302245252,15304.722527520456,131.23316062176167,131.23316062176167,5.0,,5185.447043523317,1.0,1.0,,,,CAISO,Biomass,2015.0,CAISO_Biomass_Pre2016,1164.683,,226.0,IID_Solar_2016,IID,Solar,42736.0,55153.0,20.0,,,,,,,,,,,,,,,CAISO_New_Pumped_Storage,2015.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2031.0,541.2,1019.4,56.46
,18.0,42.0,0.0,ARCOGN_2_UNITS,CAISO,CAISO_CHP,32115.0,43830.0,54.0,1.0,264.19,7606.030358240106,7606.030358240106,0.0,0.0,5.0,,0.0,24.0,24.0,,,,CAISO,Biomass,2016.0,CAISO_Biomass_2016,13.0,,230.0,IID_Solar_2020,IID,Solar,44197.0,55153.0,42.0,,,,,,,,,,,,,,,CAISO_New_Pumped_Storage,2016.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2032.0,541.2,1019.4,56.46
,19.0,53.0,1.0,BALCHS_7_UNIT 1,CAISO,CAISO_Hydro,9863.0,55153.0,33.0,,,,,,,,,,,,,,,CAISO,Biomass,2017.0,CAISO_Biomass_2017,6.06,,273.0,CAISO_Wind_Pre2016,CAISO,Wind,42370.0,55153.0,6021.055200000001,,,,,,,,,,,,,,,CAISO_New_Pumped_Storage,2017.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2033.0,541.2,1019.4,56.46
