Conventional - Operating Characteristics,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Scenario Inputs,,,,,,,,,,,,,,,,,,,,,,
,,Coal Flexibility,Dispatchable,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Operating Chararcteristics,,,,,,,,,,,,,,,,,,,,,,
,,Technology,Zone,Fuel,Dispatchable,Must Run,Regulation?,Spin?,Load Following Reserves?,Min Commit,Freq. Resp. Total?,Freq. Resp. Partial?,Freq. Resp. Contrib. Fraction,Pmax (MW),Pmin (MW),Pmin (%),Max Ramp Up (%Pmax/hr),HR at Pmax (Btu/MWh),HR at Pmin (Btu/MWh),Min. up - and min. down-time (hrs),Startup Cost ($/MW),Slope (MMBtu/MWh),Intercept (MMBtu/unit),VOM ($/MWh)
,,LDWP_Nuclear,LDWP,Uranium,0.0,1.0,,,,,,,,152.23066666666665,152.23066666666665,1.0,0.19170604123461543,10.543832267903849,10.543832267903849,24.0,0.0,10.543832267903849,0.0,6.0
,,LDWP_Coal,LDWP,CA_Coal,1.0,0.0,,,,,,,,900.0,328.0,0.36444444444444446,0.5422222222222223,9.607705555555556,10.28905792682927,24.0,5.555555555555555,9.217,351.6350000000002,5.0
,,LDWP_CCGT,LDWP,CA_Natural_Gas,1.0,0.0,,,,,,,,215.1,122.56,0.5697814969781497,1.1002634945109324,6.994728963272896,7.094947127937336,6.0,23.245002324500234,6.862000000000001,28.549999999999727,5.7
,,LDWP_Peaker,LDWP,CA_Natural_Gas,1.0,0.0,,,,,,,,73.63,36.43,0.4947711530626104,2.0065717415115003,9.04154094798316,10.531931375240188,1.0,271.62841233192995,7.582,107.46600000000001,5.0
,,IID_CCGT,IID,CA_Natural_Gas,1.0,0.0,,,,,,,,127.65,60.54,0.4742655699177438,0.7246376811594203,7.905106541323932,9.20884803435745,6.0,85.09113301050478,6.728999999999999,150.1300000000001,6.0
,,IID_Peaker,IID,CA_Natural_Gas,1.0,0.0,,,,,,,,40.7,14.3,0.35135135135135137,4.290628108647891,12.140390663390663,16.20818881118881,1.0,47.93278465951553,9.937000000000003,89.67799999999988,5.0
,,BANC_CCGT,BANC,CA_Natural_Gas,1.0,0.0,,,,,,,,234.26,123.71,0.5280884487321779,0.7465075864513814,7.677428925125929,8.037048338857005,6.0,85.09113301050478,7.2749999999999995,94.27300000000014,5.7
,,BANC_Peaker,BANC,CA_Natural_Gas,1.0,0.0,,,,,,,,40.48,16.36,0.4041501976284585,2.9193801931282293,10.392023715415018,12.12144498777506,1.0,47.93278465951553,9.219,47.48399999999998,5.0
,,,,,,,,,,,,,,,,,,,,,,,,
,,Availability by Month - for coal and nuclear,,,,,,,,,,,,,,,,,,,,,,
,,Resource,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,,,,,,,,
,,NW_Nuclear,,,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
,,SW_Nuclear,,,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.75,0.75,1.0,1.0,,,,,,,,
,,LDWP_Nuclear,,,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.75,0.75,1.0,1.0,,,,,,,,
,,CAISO_Nuclear,,,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.75,0.75,1.0,1.0,,,,,,,,
,,NW_Coal,,,0.95,0.95,0.95,0.95,0.5,0.5,0.95,0.95,0.95,0.95,0.95,0.95,,,,,,,,
,,SW_Coal,,,0.95,0.95,0.95,0.5,0.5,0.95,0.95,0.95,0.95,0.95,0.95,0.95,,,,,,,,
,,LDWP_Coal,,,0.95,0.95,0.95,0.5,0.5,0.95,0.95,0.95,0.95,0.95,0.95,0.95,,,,,,,,
