load_zone,stage_id,timepoint,load_mw,,,,
Zone1,1,2020020123,678.7317169,,,,
Zone1,1,2020020124,662.092291,,,,
Zone1,1,2020020201,638.7326731,,,,
Zone1,1,2020020202,628.1863103,,,,
Zone1,1,2020020203,623.2473574,,,,
Zone1,1,2020020204,629.4517883,,,,
Zone1,1,2020020205,638.9824023,,,,
Zone1,1,2020020206,655.9443349,,,,
Zone1,1,2020020207,676.0378929,,,,
Zone1,1,2020020208,699.0694965,,,,
Zone1,1,2020020209,715.9260225,,,,
Zone1,1,2020020210,722.401018,,,,
Zone1,1,2020020211,718.6298387,,,,
Zone1,1,2020020212,708.7059495,,,,
Zone1,1,2020020213,697.9987853,,,,
Zone1,1,2020020214,688.6727061,,,,
Zone1,1,2020020215,683.6498,,,,
Zone1,1,2020020216,679.6237822,,,,
Zone1,1,2020020217,686.2113612,,,,
Zone1,1,2020020218,699.0114891,,,,
Zone1,1,2020020219,707.1290661,,,,
Zone1,1,2020020220,710.9133878,,,,
Zone1,1,2020020221,710.5788209,,,,
Zone1,1,2020020222,699.2513875,,,,
Zone1,1,2020020223,678.7317169,,,,
Zone1,1,2020020224,662.092291,,,,
Zone1,1,2020020301,638.7326731,,,,
Zone1,1,2020020302,628.1863103,,,,
Zone1,1,2020020303,623.2473574,,,,
Zone1,1,2020020304,629.4517883,,,,
Zone1,1,2020020305,638.9824023,,,,
Zone1,1,2020020306,655.9443349,,,,
Zone1,1,2020020307,676.0378929,,,,
Zone1,1,2020020308,699.0694965,,,,
Zone1,1,2020020309,715.9260225,,,,
Zone1,1,2020020310,722.401018,,,,
Zone1,1,2020020311,718.6298387,,,,
Zone1,1,2020020312,708.7059495,,,,
Zone1,1,2020020313,697.9987853,,,,
Zone1,1,2020020314,688.6727061,,,,
Zone1,1,2020020315,683.6498,,,,
Zone1,1,2020020316,679.6237822,,,,
Zone1,1,2020020317,686.2113612,,,,
Zone1,1,2020020318,699.0114891,,,,
Zone1,1,2020020319,707.1290661,,,,
Zone1,1,2020020320,710.9133878,,,,
Zone1,1,2020020321,710.5788209,,,,
Zone1,1,2020020322,699.2513875,,,,
Zone1,1,2020020323,678.7317169,,,,
Zone1,1,2020020324,662.092291,,,,
Zone1,1,2020020401,638.7326731,,,,
Zone1,1,2020020402,628.1863103,,,,
Zone1,1,2020020403,623.2473574,,,,
Zone1,1,2020020404,629.4517883,,,,
Zone1,1,2020020405,638.9824023,,,,
Zone1,1,2020020406,655.9443349,,,,
Zone1,1,2020020407,676.0378929,,,,
Zone1,1,2020020408,699.0694965,,,,
Zone1,1,2020020409,715.9260225,,,,
Zone1,1,2020020410,722.401018,,,,
Zone1,1,2020020411,718.6298387,,,,
Zone1,1,2020020412,708.7059495,,,,
Zone1,1,2020020413,697.9987853,,,,
Zone1,1,2020020414,688.6727061,,,,
Zone1,1,2020020415,683.6498,,,,
Zone1,1,2020020416,679.6237822,,,,
Zone1,1,2020020417,686.2113612,,,,
Zone1,1,2020020418,699.0114891,,,,
Zone1,1,2020020419,707.1290661,,,,
Zone1,1,2020020420,710.9133878,,,,
Zone1,1,2020020421,710.5788209,,,,
Zone1,1,2020020422,699.2513875,,,,
Zone1,1,2020020423,678.7317169,,,,
Zone1,1,2020020424,662.092291,,,,
Zone1,1,2020020501,638.7326731,,,,
Zone1,1,2020020502,628.1863103,,,,
Zone1,1,2020020503,623.2473574,,,,
Zone1,1,2020020504,629.4517883,,,,
Zone1,1,2020020505,638.9824023,,,,
Zone1,1,2020020506,655.9443349,,,,
Zone1,1,2020020507,676.0378929,,,,
Zone1,1,2020020508,699.0694965,,,,
Zone1,1,2020020509,715.9260225,,,,
Zone1,1,2020020510,722.401018,,,,
Zone1,1,2020020511,718.6298387,,,,
Zone1,1,2020020512,708.7059495,,,,
Zone1,1,2020020513,697.9987853,,,,
Zone1,1,2020020514,688.6727061,,,,
Zone1,1,2020020515,683.6498,,,,
Zone1,1,2020020516,679.6237822,,,,
Zone1,1,2020020517,686.2113612,,,,
Zone1,1,2020020518,699.0114891,,,,
Zone1,1,2020020519,707.1290661,,,,
Zone1,1,2020020520,710.9133878,,,,
Zone1,1,2020020521,710.5788209,,,,
Zone1,1,2020020522,699.2513875,,,,
Zone1,1,2020020523,678.7317169,,,,
Zone1,1,2020020524,662.092291,,,,
Zone1,1,2020020601,638.7326731,,,,
Zone1,1,2020020602,628.1863103,,,,
Zone1,1,2020020603,623.2473574,,,,
Zone1,1,2020020604,629.4517883,,,,
Zone1,1,2020020605,638.9824023,,,,
Zone1,1,2020020606,655.9443349,,,,
Zone1,1,2020020607,676.0378929,,,,
Zone1,1,2020020608,699.0694965,,,,
Zone1,1,2020020609,715.9260225,,,,
Zone1,1,2020020610,722.401018,,,,
Zone1,1,2020020611,718.6298387,,,,
Zone1,1,2020020612,708.7059495,,,,
Zone1,1,2020020613,697.9987853,,,,
Zone1,1,2020020614,688.6727061,,,,
Zone1,1,2020020615,683.6498,,,,
Zone1,1,2020020616,679.6237822,,,,
Zone1,1,2020020617,686.2113612,,,,
Zone1,1,2020020618,699.0114891,,,,
Zone1,1,2020020619,707.1290661,,,,
Zone1,1,2020020620,710.9133878,,,,
Zone1,1,2020020621,710.5788209,,,,
Zone1,1,2020020622,699.2513875,,,,
Zone1,1,2020020623,678.7317169,,,,
Zone1,1,2020020624,662.092291,,,,
Zone1,1,2020020701,638.7326731,,,,
Zone1,1,2020020702,628.1863103,,,,
Zone1,1,2020020703,623.2473574,,,,
Zone1,1,2020020704,629.4517883,,,,
Zone1,1,2020020705,638.9824023,,,,
Zone1,1,2020020706,655.9443349,,,,
Zone1,1,2020020707,676.0378929,,,,
Zone1,1,2020020708,699.0694965,,,,
Zone1,1,2020020709,715.9260225,,,,
Zone1,1,2020020710,722.401018,,,,
Zone1,1,2020020711,718.6298387,,,,
Zone1,1,2020020712,708.7059495,,,,
Zone1,1,2020020713,697.9987853,,,,
Zone1,1,2020020714,688.6727061,,,,
Zone1,1,2020020715,683.6498,,,,
Zone1,1,2020020716,679.6237822,,,,
Zone1,1,2020020717,686.2113612,,,,
Zone1,1,2020020718,699.0114891,,,,
Zone1,1,2020020719,707.1290661,,,,
Zone1,1,2020020720,710.9133878,,,,
Zone1,1,2020020721,710.5788209,,,,
Zone1,1,2020020722,699.2513875,,,,
Zone1,1,2020020723,678.7317169,,,,
Zone1,1,2020020724,662.092291,,,,
Zone1,1,2020020801,638.7326731,,,,
Zone1,1,2020020802,628.1863103,,,,
Zone1,1,2020020803,623.2473574,,,,
Zone1,1,2020020804,629.4517883,,,,
Zone1,1,2020020805,638.9824023,,,,
Zone1,1,2020020806,655.9443349,,,,
Zone1,1,2020020807,676.0378929,,,,
Zone1,1,2020020808,699.0694965,,,,
Zone1,1,2020020809,715.9260225,,,,
Zone1,1,2020020810,722.401018,,,,
Zone1,1,2020020811,718.6298387,,,,
Zone1,1,2020020812,708.7059495,,,,
Zone1,1,2020020813,697.9987853,,,,
Zone1,1,2020020814,688.6727061,,,,
Zone1,1,2020020815,683.6498,,,,
Zone1,1,2020020816,679.6237822,,,,
Zone1,1,2020020817,686.2113612,,,,
Zone1,1,2020020818,699.0114891,,,,
