project,variable_generator_profile_scenario_id,stage_id,timepoint,cap_factor
Solar_new_z2,1,1,2020010101,0
Solar_new_z2,1,1,2020010102,0
Solar_new_z2,1,1,2020010103,0
Solar_new_z2,1,1,2020010104,0
Solar_new_z2,1,1,2020010105,0
Solar_new_z2,1,1,2020010106,0
Solar_new_z2,1,1,2020010107,0
Solar_new_z2,1,1,2020010108,0.02
Solar_new_z2,1,1,2020010109,0.24
Solar_new_z2,1,1,2020010110,0.428
Solar_new_z2,1,1,2020010111,0.571
Solar_new_z2,1,1,2020010112,0.655
Solar_new_z2,1,1,2020010113,0.695
Solar_new_z2,1,1,2020010114,0.678
Solar_new_z2,1,1,2020010115,0.595
Solar_new_z2,1,1,2020010116,0.449
Solar_new_z2,1,1,2020010117,0.219
Solar_new_z2,1,1,2020010118,0.004
Solar_new_z2,1,1,2020010119,0
Solar_new_z2,1,1,2020010120,0
Solar_new_z2,1,1,2020010121,0
Solar_new_z2,1,1,2020010122,0
Solar_new_z2,1,1,2020010123,0
Solar_new_z2,1,1,2020010124,0
Solar_new_z2,1,1,2020010201,0
Solar_new_z2,1,1,2020010202,0
Solar_new_z2,1,1,2020010203,0
Solar_new_z2,1,1,2020010204,0
Solar_new_z2,1,1,2020010205,0
Solar_new_z2,1,1,2020010206,0
Solar_new_z2,1,1,2020010207,0
Solar_new_z2,1,1,2020010208,0.016
Solar_new_z2,1,1,2020010209,0.232
Solar_new_z2,1,1,2020010210,0.412
Solar_new_z2,1,1,2020010211,0.554
Solar_new_z2,1,1,2020010212,0.651
Solar_new_z2,1,1,2020010213,0.687
Solar_new_z2,1,1,2020010214,0.657
Solar_new_z2,1,1,2020010215,0.593
Solar_new_z2,1,1,2020010216,0.433
Solar_new_z2,1,1,2020010217,0.213
Solar_new_z2,1,1,2020010218,0.004
Solar_new_z2,1,1,2020010219,0
Solar_new_z2,1,1,2020010220,0
Solar_new_z2,1,1,2020010221,0
Solar_new_z2,1,1,2020010222,0
Solar_new_z2,1,1,2020010223,0
Solar_new_z2,1,1,2020010224,0
Solar_new_z2,1,1,2025010101,0
Solar_new_z2,1,1,2025010102,0
Solar_new_z2,1,1,2025010103,0
Solar_new_z2,1,1,2025010104,0
Solar_new_z2,1,1,2025010105,0
Solar_new_z2,1,1,2025010106,0
Solar_new_z2,1,1,2025010107,0
Solar_new_z2,1,1,2025010108,0.099
Solar_new_z2,1,1,2025010109,0.273
Solar_new_z2,1,1,2025010110,0.44
Solar_new_z2,1,1,2025010111,0.567
Solar_new_z2,1,1,2025010112,0.64
Solar_new_z2,1,1,2025010113,0.675
Solar_new_z2,1,1,2025010114,0.654
Solar_new_z2,1,1,2025010115,0.599
Solar_new_z2,1,1,2025010116,0.473
Solar_new_z2,1,1,2025010117,0.265
Solar_new_z2,1,1,2025010118,0.019
Solar_new_z2,1,1,2025010119,0
Solar_new_z2,1,1,2025010120,0
Solar_new_z2,1,1,2025010121,0
Solar_new_z2,1,1,2025010122,0
Solar_new_z2,1,1,2025010123,0
Solar_new_z2,1,1,2025010124,0
Solar_new_z2,1,1,2025010201,0
Solar_new_z2,1,1,2025010202,0
Solar_new_z2,1,1,2025010203,0
Solar_new_z2,1,1,2025010204,0
Solar_new_z2,1,1,2025010205,0
Solar_new_z2,1,1,2025010206,0
Solar_new_z2,1,1,2025010207,0
Solar_new_z2,1,1,2025010208,0.1
Solar_new_z2,1,1,2025010209,0.268
Solar_new_z2,1,1,2025010210,0.425
Solar_new_z2,1,1,2025010211,0.53
Solar_new_z2,1,1,2025010212,0.607
Solar_new_z2,1,1,2025010213,0.642
Solar_new_z2,1,1,2025010214,0.584
Solar_new_z2,1,1,2025010215,0.475
Solar_new_z2,1,1,2025010216,0.345
Solar_new_z2,1,1,2025010217,0.172
Solar_new_z2,1,1,2025010218,0.01
Solar_new_z2,1,1,2025010219,0
Solar_new_z2,1,1,2025010220,0
Solar_new_z2,1,1,2025010221,0
Solar_new_z2,1,1,2025010222,0
Solar_new_z2,1,1,2025010223,0
Solar_new_z2,1,1,2025010224,0
