project,variable_generator_profile_scenario_id,stage_id,timepoint,cap_factor
Solar_new_z1,1,1,2020010101,0
Solar_new_z1,1,1,2020010102,0
Solar_new_z1,1,1,2020010103,0
Solar_new_z1,1,1,2020010104,0
Solar_new_z1,1,1,2020010105,0
Solar_new_z1,1,1,2020010106,0
Solar_new_z1,1,1,2020010107,0
Solar_new_z1,1,1,2020010108,0.103
Solar_new_z1,1,1,2020010109,0.267
Solar_new_z1,1,1,2020010110,0.44
Solar_new_z1,1,1,2020010111,0.559
Solar_new_z1,1,1,2020010112,0.592
Solar_new_z1,1,1,2020010113,0.577
Solar_new_z1,1,1,2020010114,0.491
Solar_new_z1,1,1,2020010115,0.457
Solar_new_z1,1,1,2020010116,0.326
Solar_new_z1,1,1,2020010117,0.175
Solar_new_z1,1,1,2020010118,0.009
Solar_new_z1,1,1,2020010119,0
Solar_new_z1,1,1,2020010120,0
Solar_new_z1,1,1,2020010121,0
Solar_new_z1,1,1,2020010122,0
Solar_new_z1,1,1,2020010123,0
Solar_new_z1,1,1,2020010124,0
Solar_new_z1,1,1,2020010201,0
Solar_new_z1,1,1,2020010202,0
Solar_new_z1,1,1,2020010203,0
Solar_new_z1,1,1,2020010204,0
Solar_new_z1,1,1,2020010205,0
Solar_new_z1,1,1,2020010206,0
Solar_new_z1,1,1,2020010207,0
Solar_new_z1,1,1,2020010208,0.099
Solar_new_z1,1,1,2020010209,0.276
Solar_new_z1,1,1,2020010210,0.443
Solar_new_z1,1,1,2020010211,0.57
Solar_new_z1,1,1,2020010212,0.634
Solar_new_z1,1,1,2020010213,0.65
Solar_new_z1,1,1,2020010214,0.645
Solar_new_z1,1,1,2020010215,0.606
Solar_new_z1,1,1,2020010216,0.477
Solar_new_z1,1,1,2020010217,0.272
Solar_new_z1,1,1,2020010218,0.017
Solar_new_z1,1,1,2020010219,0
Solar_new_z1,1,1,2020010220,0
Solar_new_z1,1,1,2020010221,0
Solar_new_z1,1,1,2020010222,0
Solar_new_z1,1,1,2020010223,0
Solar_new_z1,1,1,2020010224,0
Solar_new_z1,1,1,2025010101,0
Solar_new_z1,1,1,2025010102,0
Solar_new_z1,1,1,2025010103,0
Solar_new_z1,1,1,2025010104,0
Solar_new_z1,1,1,2025010105,0
Solar_new_z1,1,1,2025010106,0
Solar_new_z1,1,1,2025010107,0
Solar_new_z1,1,1,2025010108,0.098
Solar_new_z1,1,1,2025010109,0.275
Solar_new_z1,1,1,2025010110,0.461
Solar_new_z1,1,1,2025010111,0.602
Solar_new_z1,1,1,2025010112,0.688
Solar_new_z1,1,1,2025010113,0.721
Solar_new_z1,1,1,2025010114,0.71
Solar_new_z1,1,1,2025010115,0.634
Solar_new_z1,1,1,2025010116,0.497
Solar_new_z1,1,1,2025010117,0.287
Solar_new_z1,1,1,2025010118,0.023
Solar_new_z1,1,1,2025010119,0
Solar_new_z1,1,1,2025010120,0
Solar_new_z1,1,1,2025010121,0
Solar_new_z1,1,1,2025010122,0
Solar_new_z1,1,1,2025010123,0
Solar_new_z1,1,1,2025010124,0
Solar_new_z1,1,1,2025010201,0
Solar_new_z1,1,1,2025010202,0
Solar_new_z1,1,1,2025010203,0
Solar_new_z1,1,1,2025010204,0
Solar_new_z1,1,1,2025010205,0
Solar_new_z1,1,1,2025010206,0
Solar_new_z1,1,1,2025010207,0
Solar_new_z1,1,1,2025010208,0.098675169
Solar_new_z1,1,1,2025010209,0.282001764
Solar_new_z1,1,1,2025010210,0.469924145
Solar_new_z1,1,1,2025010211,0.602456162
Solar_new_z1,1,1,2025010212,0.695445873
Solar_new_z1,1,1,2025010213,0.733062637
Solar_new_z1,1,1,2025010214,0.709594259
Solar_new_z1,1,1,2025010215,0.638435218
Solar_new_z1,1,1,2025010216,0.502976395
Solar_new_z1,1,1,2025010217,0.289732278
Solar_new_z1,1,1,2025010218,0.025870597
Solar_new_z1,1,1,2025010219,0
Solar_new_z1,1,1,2025010220,0
Solar_new_z1,1,1,2025010221,0
Solar_new_z1,1,1,2025010222,0
Solar_new_z1,1,1,2025010223,0
Solar_new_z1,1,1,2025010224,0
