period,discount_factor,number_years_represented
2020,1,1
2021,0.952380952,1
2022,0.907029478,1
2023,0.863837599,1
2024,0.809643705,1.5
2026,0.723520463,3
2030,0.523224372,9.5
2045,0.239112975,28
