prm_zone,period,prm_peak_load_mw,prm_annual_load_mwh
CAISO,2020,49406.65942,242189141
CAISO,2021,49913.83791,244545760.8
CAISO,2022,50404.98791,247405625.6
CAISO,2023,50722.618,249499415.5
CAISO,2024,50968.35547,251194804.5
CAISO,2026,53083.13523,253798729.6
CAISO,2030,53486.42295,257017850.9
CAISO,2045,61432.99987,382705922.9
