project,technology,notes
CAISO_CHP,CHP,
CAISO_Nuclear,Nuclear,
CAISO_CCGT1,CCGT,
CAISO_CCGT1_Planned,CCGT,
CAISO_CCGT2,CCGT,
CAISO_Peaker1,Peaker,
CAISO_Peaker1_Planned,Peaker,
CAISO_Peaker2,Peaker,
CAISO_Peaker2_Planned,Peaker,
CAISO_Advanced_CCGT,CCGT,
CAISO_Aero_CT,Peaker,
CAISO_Reciprocating_Engine,Peaker,
CAISO_Reciprocating_Engine_Candidate,Peaker,
CAISO_ST,Steam,
CAISO_Shed_DR_Existing,unspecified,Put shed DR in its own category when implemented
CAISO_Shed_DR_Tranche1,unspecified,Put shed DR in its own category when implemented
CAISO_Shed_DR_Tranche2,unspecified,Put shed DR in its own category when implemented
CAISO_Shed_DR_Tranche3,unspecified,Put shed DR in its own category when implemented
CAISO_Shed_DR_Tranche4,unspecified,Put shed DR in its own category when implemented
CAISO_Shed_DR_Tranche5,unspecified,Put shed DR in its own category when implemented
CAISO_Shed_DR_Tranche6,unspecified,Put shed DR in its own category when implemented
CAISO_Shed_DR_Tranche7,unspecified,Put shed DR in its own category when implemented
CAISO_Shed_DR_Tranche8,unspecified,Put shed DR in its own category when implemented
NW_Nuclear,Nuclear,
NW_Coal,Coal,
NW_CCGT,CCGT,
NW_Peaker,Peaker,
SW_Nuclear,Nuclear,
SW_Coal,Coal,
SW_CCGT,CCGT,
SW_Peaker,Peaker,
LDWP_Nuclear,Nuclear,
LDWP_Coal,Coal,
LDWP_CCGT,CCGT,
LDWP_Peaker,Peaker,
IID_CCGT,CCGT,
IID_Peaker,Peaker,
BANC_CCGT,CCGT,
BANC_Peaker,Peaker,
CAISO_Existing_Pumped_Storage,Pumped_Storage,
CAISO_Storage_Mandate,Battery,
CAISO_New_Pumped_Storage,Pumped_Storage,
CAISO_New_Flow_Battery,Battery,
CAISO_New_Li_Battery,Battery,
CAISO_Hydro,Hydro,
NW_Hydro,Hydro,
SW_Hydro,Hydro,
LDWP_Hydro,Hydro,
BANC_Hydro,Hydro,
IID_Hydro,Hydro,
BANC_Biomass_for_Other,Biomass,
BANC_Geothermal_for_Other,Geothermal,
BANC_Small_Hydro_for_Other,Small_Hydro,
BANC_Solar_for_Other,Solar,
BANC_Wind_for_Other,Wind,
CAISO_Biomass_for_Other,Biomass,
CAISO_Geothermal_for_Other,Geothermal,
CAISO_Small_Hydro_for_Other,Small_Hydro,
CAISO_Solar_for_Other,Solar,
CAISO_Wind_for_Other,Wind,
IID_Biomass_for_Other,Biomass,
IID_Geothermal_for_Other,Geothermal,
IID_Small_Hydro_for_Other,Small_Hydro,
IID_Solar_for_Other,Solar,
IID_Wind_for_Other,Wind,
LDWP_Biomass_for_Other,Biomass,
LDWP_Geothermal_for_Other,Geothermal,
LDWP_Small_Hydro_for_Other,Small_Hydro,
LDWP_Solar_for_Other,Solar,
LDWP_Wind_for_Other,Wind,
NW_Biomass_for_Other,Biomass,
NW_Geothermal_for_Other,Geothermal,
NW_Small_Hydro_for_Other,Small_Hydro,
NW_Solar_for_Other,Solar,
NW_Wind_for_Other,Wind,
SW_Biomass_for_Other,Biomass,
SW_Geothermal_for_Other,Geothermal,
SW_Small_Hydro_for_Other,Small_Hydro,
SW_Solar_for_Other,Solar,
SW_Wind_for_Other,Wind,
BANC_Small_Hydro_for_CAISO,Small_Hydro,
CAISO_Biomass_for_CAISO,Biomass,
CAISO_Geothermal_for_CAISO,Geothermal,
CAISO_Small_Hydro_for_CAISO,Small_Hydro,
CAISO_Solar_for_CAISO,Solar,
CAISO_Wind_for_CAISO,Wind,
IID_Geothermal_for_CAISO,Geothermal,
IID_Solar_for_CAISO,Solar,
LDWP_Wind_for_CAISO,Wind,
NW_Biomass_for_CAISO,Biomass,
NW_Geothermal_for_CAISO,Geothermal,
NW_Small_Hydro_for_CAISO,Small_Hydro,
NW_Wind_for_CAISO,Wind,
SW_Solar_for_CAISO,Solar,
SW_Wind_for_CAISO,Wind,
Customer_PV,Solar_BTM,
Northern_California_Solar,Solar,
Solano_Solar,Solar,
Central_Valley_North_Los_Banos_Solar,Solar,
Westlands_Solar,Solar,
Greater_Carrizo_Solar,Solar,
Tehachapi_Solar,Solar,
Kramer_Inyokern_Solar,Solar,
Mountain_Pass_El_Dorado_Solar,Solar,
Southern_California_Desert_Solar,Solar,
Riverside_East_Palm_Springs_Solar,Solar,
Greater_Imperial_Solar,Solar,
Distributed_Solar,Solar,
Baja_California_Solar,Solar,
Utah_Solar,Solar,
Southern_Nevada_Solar,Solar,
Arizona_Solar,Solar,
New_Mexico_Solar,Solar,
Northern_California_Wind,Wind,
Solano_Wind,Wind,
Central_Valley_North_Los_Banos_Wind,Wind,
Greater_Carrizo_Wind,Wind,
Tehachapi_Wind,Wind,
Kramer_Inyokern_Wind,Wind,
Southern_California_Desert_Wind,Wind,
Riverside_East_Palm_Springs_Wind,Wind,
Greater_Imperial_Wind,Wind,
Distributed_Wind,Wind,
Baja_California_Wind,Wind,
Pacific_Northwest_Wind,Wind,
NW_Ext_Tx_Wind,Wind,
Idaho_Wind,Wind,
Utah_Wind,Wind,
Wyoming_Wind,Wind,
Southern_Nevada_Wind,Wind,
Arizona_Wind,Wind,
New_Mexico_Wind,Wind,
SW_Ext_Tx_Wind,Wind,
InState_Biomass,Biomass,
Greater_Imperial_Geothermal,Geothermal,
Northern_California_Geothermal,Geothermal,
Pacific_Northwest_Geothermal,Geothermal,
Southern_Nevada_Geothermal,Geothermal,
