project,operational_type,notes
CalPeakPanoche,dispatchable_capacity_commit,
VacaDixon,dispatchable_capacity_commit,
Canyon,dispatchable_capacity_commit,
Carson,must_run,
Center,dispatchable_capacity_commit,
Century,dispatchable_capacity_commit,
ChalkCliff,must_run,
ChulaVista,dispatchable_capacity_commit,
Clearwater,dispatchable_capacity_commit,
Colusa,dispatchable_capacity_commit,
Creed,dispatchable_capacity_commit,
Cuyamaca,dispatchable_capacity_commit,
Delta,dispatchable_capacity_commit,
DesertStar,dispatchable_capacity_commit,
DonaldVonRaesfeld,dispatchable_capacity_commit,
HighSierra,must_run,
Drews,dispatchable_capacity_commit,
ElCajonGT,dispatchable_capacity_commit,
ElCajonEC,dispatchable_capacity_commit,
ElSegundo,dispatchable_capacity_commit,
ElkHills,dispatchable_capacity_commit,
Ellwood,dispatchable_capacity_commit,
Carlsbad,dispatchable_capacity_commit,
FeatherRiver,dispatchable_capacity_commit,
FresnoCogen,always_on,
FresnoPeaker,dispatchable_capacity_commit,
Gateway,dispatchable_capacity_commit,
Gianera,dispatchable_capacity_commit,
GilroyCogen,always_on,
GilroyPeaker,dispatchable_capacity_commit,
GlenArm12,dispatchable_capacity_commit,
GlenArm34,dispatchable_capacity_commit,
GlenArm5,dispatchable_capacity_commit,
GooseHaven,dispatchable_capacity_commit,
Grapeland,dispatchable_capacity_commit,
Henrietta,dispatchable_capacity_commit,
HGonzalez,dispatchable_capacity_commit,
Hanford,dispatchable_capacity_commit,
Harbor,dispatchable_capacity_commit,
HighDesert,dispatchable_capacity_commit,
LongBeach,dispatchable_capacity_commit,
HuntingtonBeach,dispatchable_capacity_commit,
Indigo1,dispatchable_capacity_commit,
Indigo23,dispatchable_capacity_commit,
InlandEmpire,dispatchable_capacity_commit,
Kearny,dispatchable_capacity_commit,
KernRiver,always_on,
KingCity,dispatchable_capacity_commit,
LaPaloma,dispatchable_capacity_commit,
Lambie,dispatchable_capacity_commit,
Larkspur,dispatchable_capacity_commit,
LiveOak,must_run,
LodiCC,dispatchable_capacity_commit,
LodiPeaker,dispatchable_capacity_commit,
LosEsteros,dispatchable_capacity_commit,
LosMedanos,dispatchable_capacity_commit,
LaRosita1,dispatchable_capacity_commit,
LaRosita2,dispatchable_capacity_commit,
Malaga1,dispatchable_capacity_commit,
Malaga2,dispatchable_capacity_commit,
Malburg,dispatchable_capacity_commit,
Mandalay,dispatchable_capacity_commit,
Mariposa,dispatchable_capacity_commit,
MarshLanding,dispatchable_capacity_commit,
McGrath,dispatchable_capacity_commit,
McKittrick,must_run,
Metcalf,dispatchable_capacity_commit,
Midway,dispatchable_capacity_commit,
MidwaySunset,must_run,
MiraLoma,dispatchable_capacity_commit,
MiramarAgg,dispatchable_capacity_commit,
Miramar1,dispatchable_capacity_commit,
Miramar2,dispatchable_capacity_commit,
Mountainview3,dispatchable_capacity_commit,
Mountaiview4,dispatchable_capacity_commit,
Oakland,dispatchable_capacity_commit,
OrangeGrove,dispatchable_capacity_commit,
OtayMesa,dispatchable_capacity_commit,
Palomar,dispatchable_capacity_commit,
Panoche,dispatchable_capacity_commit,
PanochePeaker,dispatchable_capacity_commit,
Pastoria1,dispatchable_capacity_commit,
Pastoria2,dispatchable_capacity_commit,
PioPico,dispatchable_capacity_commit,
Ripon,must_run,
Riverside,dispatchable_capacity_commit,
Riverview,dispatchable_capacity_commit,
Russel,dispatchable_capacity_commit,
SantaClara,always_on,
Sentinel,dispatchable_capacity_commit,
Springs,dispatchable_capacity_commit,
Stanton,dispatchable_capacity_commit,
Sunrise,dispatchable_capacity_commit,
Sutter,dispatchable_capacity_commit,
Sycamore,must_run,
TermoMexi,dispatchable_capacity_commit,
Tracy,dispatchable_capacity_commit,
WalnutCreek,dispatchable_capacity_commit,
Wellhead,dispatchable_capacity_commit,
Wolfskill,dispatchable_capacity_commit,
YubaCity,dispatchable_capacity_commit,
DoubleC,must_run,
LodiSTIG,dispatchable_capacity_commit,
Battery_LCR_Bay_Area,storage_generic,
Battery_LCR_Big_Creek_Ventura,storage_generic,
Battery_LCR_Fresno,storage_generic,
Battery_LCR_Humboldt,storage_generic,
Battery_LCR_Kern,storage_generic,
Battery_LCR_LA_Basin,storage_generic,
Battery_LCR_NCNB,storage_generic,
Battery_LCR_San_Diego,storage_generic,
Battery_LCR_Sierra,storage_generic,
Battery_LCR_Stockton,storage_generic,
Advanced_CCGT_LCR_Bay_Area,dispatchable_capacity_commit,
Advanced_CCGT_LCR_Big_Creek_Ventura,dispatchable_capacity_commit,
Advanced_CCGT_LCR_Fresno,dispatchable_capacity_commit,
Advanced_CCGT_LCR_Humboldt,dispatchable_capacity_commit,
Advanced_CCGT_LCR_Kern,dispatchable_capacity_commit,
Advanced_CCGT_LCR_LA_Basin,dispatchable_capacity_commit,
Advanced_CCGT_LCR_NCNB,dispatchable_capacity_commit,
Advanced_CCGT_LCR_San_Diego,dispatchable_capacity_commit,
Advanced_CCGT_LCR_Sierra,dispatchable_capacity_commit,
Advanced_CCGT_LCR_Stockton,dispatchable_capacity_commit,
Aero_CT_LCR_Bay_Area,dispatchable_capacity_commit,
Aero_CT_LCR_Big_Creek_Ventura,dispatchable_capacity_commit,
Aero_CT_LCR_Fresno,dispatchable_capacity_commit,
Aero_CT_LCR_Humboldt,dispatchable_capacity_commit,
Aero_CT_LCR_Kern,dispatchable_capacity_commit,
Aero_CT_LCR_LA_Basin,dispatchable_capacity_commit,
Aero_CT_LCR_NCNB,dispatchable_capacity_commit,
Aero_CT_LCR_San_Diego,dispatchable_capacity_commit,
Aero_CT_LCR_Sierra,dispatchable_capacity_commit,
Aero_CT_LCR_Stockton,dispatchable_capacity_commit,
