lca_zone,2018,2022,2026,2030
Bay_Area,4369.74,4511.34,4941.74,5372.14
Big_Creek_Ventura,-1570.61,478.95,582.95,686.95
Fresno,-667.5476,-1525.7476,-1274.5476,-1023.3476
Humboldt,-40.954,-40.554,-38.954,-37.354
Kern,172.18,-118.42,111.18,340.78
LA_Basin,2061.48,5319.34,5588.14,5856.94
NCNB,-209.97,-350.57,-296.97,-243.37
San_Diego,3142.83,3526.23,3759.83,3993.43
Sierra,408.4,-155,-700.6,-700.6
Stockton,435.5,142.9,232.5,322.1
