plant,RESOLVE type,baseload_flag,minimum_input_mmbtu_per_hr,inc_heat_rate_mmbtu_mwh,min_stable_level,unit_size_mw,startup_cost_per_mw_committed,shutdown_cost_per_mw_committed,startup_plus_ramp_up_rate,shutdown_plus_ramp_down_rate,variable_cost_per_mwh,full_load_heat_rate,tech,nqc_fraction,fixed_cost,total_capacity,lca_zone,operational_type,capacity_type,onine_year,retirement_year,ramp_up_when_on_rate,ramp_down_when_on_rate
Pastoria2,CAISO_CCGT1,0,1801.063078,6.206,0.618773663,399.735,44.45876543,44.45876543,1.687242798,1.686419753,5.7,6.871533333,CCGT,0.938121505,10,399.735,Big_Creek_Ventura,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,1.687242798,1.686419753
PioPico,CAISO_Peaker1,0,543.0917692,6.11704,0.3,102.67,5,5,2.367872176,2.367872176,5,9.571611152,Peaker,1,6,308.01,San_Diego,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,2.367872176,2.367872176
Ripon,CAISO_Peaker1,1,137.448328,10.68227823,0.99,46.05,54.59514938,54.59514938,1.405975395,1.405975395,5,3.091585605,CHP,0.990228013,6,46.05,CAISO_System,must_run,existing_gen_no_economic_retirement,,,1.405975395,1.405975395
Riverside,CAISO_Peaker1,0,320.2870889,5.833657143,0.45,48.7125,16.96159694,16.96159694,6.530898962,6.530898962,5,9.783560726,CHP,0.994867847,6,194.85,LA_Basin,dispatchable_capacity_commit,existing_gen_no_economic_retirement,,,6.530898962,6.530898962
Riverview,CAISO_Peaker2,0,253.3098121,9.370007067,0.45,48.7,16.96160321,16.96160321,1.603206413,1.603206413,5,10.3549374,Peaker,1,6,48.7,Bay_Area,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,1.603206413,1.603206413
Russel,CAISO_CCGT2,0,1785.6,7.2,0.4,620,41.8739542,41.8739542,0.4,0.4,5.7,7.2,CCGT,0.963548387,10,620,Bay_Area,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.27480916,0.275572519
SantaClara,CAISO_Peaker1,0,8.789487179,7.652,0.45,3.5,16.96160256,16.96160256,15.38461538,15.38461538,5,6.719882051,CHP,0.857142857,6,7,Bay_Area,always_on,existing_gen_no_economic_retirement,,,15.38461538,15.38461538
Sentinel,CAISO_Peaker1,0,549.9962446,6.173,0.45,92.0275,54.59515522,54.59515522,3.010348071,3.010348071,5,9.371583616,Peaker,0.988834859,6,736.22,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.010348071,3.010348071
Springs,CAISO_Peaker1,0,54.1583361,4.694228571,0.45,9,16.9616,16.9616,14.54545455,14.54545455,5,8.599418615,Peaker,1,6,36,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,14.54545455,14.54545455
Stanton,CAISO_Peaker1,0,518.3889489,6.11704,0.3,98,5,5,2.430865426,2.430865426,5,9.571611152,Peaker,1,6,98,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,2020,,2.430865426,2.430865426
Sunrise,CAISO_CCGT1,0,2444.801471,6.205999422,0.564992294,586.02,46.51466055,46.51466055,0.564992294,0.564992294,5.7,6.871531352,CCGT,1,10,586.02,CAISO_System,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.504587156,0.505321101
Sutter,CAISO_CCGT1,0,2122.886326,6.366409784,0.550173063,525,49.13621771,49.13621771,0.739852399,0.740590406,5.7,6.907375615,CCGT,0.952380952,10,525,CAISO_System,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.739852399,0.740590406
Sycamore,CAISO_Peaker1,1,471.2717923,5.194119135,0.989999868,85,54.59513939,54.59513939,0.989999868,0.989999868,5,5.596315903,CHP,1,6,170,Big_Creek_Ventura,must_run,existing_gen_no_economic_retirement,,,0.506666599,0.499999933
TermoMexi,CAISO_CCGT1,0,2605.947025,6.0689,0.55,625,41.8739521,41.8739521,0.55,0.55,5.7,6.90052024,CCGT,0.9488,10,625,San_Diego,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.224550898,0.224550898
Tracy,CAISO_CCGT2,0,1675.713752,7.26,0.55,332.28,41.87395494,41.87395494,0.55,0.55,5.7,8.310077379,CCGT,0.901047309,10,332.28,Stockton,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.444707975,0.444707975
WalnutCreek,CAISO_Peaker1,0,577.6559949,6.108,0.45,96.626,54.59515,54.59515,3.2,3.2,5,9.337666667,Peaker,0.994866806,6,483.13,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.2,3.2
Wellhead,CAISO_Peaker1,0,293.98191,5.339771429,0.45,49,16.96160204,16.96160204,7.346938776,7.346938776,5,8.936505102,Peaker,1,6,49,Big_Creek_Ventura,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,7.346938776,7.346938776
Wolfskill,CAISO_Peaker2,0,243.9472318,9.370007067,0.45,46.9,16.96160321,16.96160321,1.603206413,1.603206413,5,10.3549374,Peaker,0.980810235,6,46.9,CAISO_System,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,1.603206413,1.603206413
YubaCity,CAISO_Peaker2,0,239.2659416,9.370007067,0.45,46,16.96160321,16.96160321,3.206412826,3.206412826,5,10.3549374,Peaker,1,6,46,Sierra,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.206412826,3.206412826
DoubleC,CAISO_Peaker2,1,294.7634538,5.597,0.99,26.115,16.96160036,16.96160036,3.291139241,3.283905967,5,11.34310206,CHP,0.987937967,6,52.23,Kern,must_run,existing_gen_no_economic_retirement,,,3.291139241,3.283905967
LodiSTIG,CAISO_Peaker2,0,259.937456,9.360317577,0.450000088,49.9,16.96160488,16.96160488,1.562500305,1.562500305,5,10.3573413,Peaker,0.991983968,6,49.9,Sierra,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,1.562500305,1.562500305
Battery_LCR_Bay_Area,,0,,,,,,,,,0,,Battery,1,,,Bay_Area,storage_generic,new_build_storage,,,,
Battery_LCR_Big_Creek_Ventura,,0,,,,,,,,,0,,Battery,1,,,Big_Creek_Ventura,storage_generic,new_build_storage,,,,
Battery_LCR_Fresno,,0,,,,,,,,,0,,Battery,1,,,Fresno,storage_generic,new_build_storage,,,,
Battery_LCR_Humboldt,,0,,,,,,,,,0,,Battery,1,,,Humboldt,storage_generic,new_build_storage,,,,
Battery_LCR_Kern,,0,,,,,,,,,0,,Battery,1,,,Kern,storage_generic,new_build_storage,,,,
Battery_LCR_LA_Basin,,0,,,,,,,,,0,,Battery,1,,,LA_Basin,storage_generic,new_build_storage,,,,
Battery_LCR_NCNB,,0,,,,,,,,,0,,Battery,1,,,NCNB,storage_generic,new_build_storage,,,,
Battery_LCR_San_Diego,,0,,,,,,,,,0,,Battery,1,,,San_Diego,storage_generic,new_build_storage,,,,
Battery_LCR_Sierra,,0,,,,,,,,,0,,Battery,1,,,Sierra,storage_generic,new_build_storage,,,,
Battery_LCR_Stockton,,0,,,,,,,,,0,,Battery,1,,,Stockton,storage_generic,new_build_storage,,,,
Advanced_CCGT_LCR_Bay_Area,,0,1220,6,0.2,600,25,25,0.621158968,0.621158968,5.7,,CCGT,1,,,Bay_Area,dispatchable_capacity_commit,new_build_generator,,,0.621158968,0.621158968
Advanced_CCGT_LCR_Big_Creek_Ventura,,0,1220,6,0.2,600,25,25,0.621158968,0.621158968,5.7,,CCGT,1,,,Big_Creek_Ventura,dispatchable_capacity_commit,new_build_generator,,,0.621158968,0.621158968
Advanced_CCGT_LCR_Fresno,,0,1220,6,0.2,600,25,25,0.621158968,0.621158968,5.7,,CCGT,1,,,Fresno,dispatchable_capacity_commit,new_build_generator,,,0.621158968,0.621158968
Advanced_CCGT_LCR_Humboldt,,0,1220,6,0.2,600,25,25,0.621158968,0.621158968,5.7,,CCGT,1,,,Humboldt,dispatchable_capacity_commit,new_build_generator,,,0.621158968,0.621158968
Advanced_CCGT_LCR_Kern,,0,1220,6,0.2,600,25,25,0.621158968,0.621158968,5.7,,CCGT,1,,,Kern,dispatchable_capacity_commit,new_build_generator,,,0.621158968,0.621158968
Advanced_CCGT_LCR_LA_Basin,,0,1220,6,0.2,600,25,25,0.621158968,0.621158968,5.7,,CCGT,1,,,LA_Basin,dispatchable_capacity_commit,new_build_generator,,,0.621158968,0.621158968
Advanced_CCGT_LCR_NCNB,,0,1220,6,0.2,600,25,25,0.621158968,0.621158968,5.7,,CCGT,1,,,NCNB,dispatchable_capacity_commit,new_build_generator,,,0.621158968,0.621158968
Advanced_CCGT_LCR_San_Diego,,0,1220,6,0.2,600,25,25,0.621158968,0.621158968,5.7,,CCGT,1,,,San_Diego,dispatchable_capacity_commit,new_build_generator,,,0.621158968,0.621158968
Advanced_CCGT_LCR_Sierra,,0,1220,6,0.2,600,25,25,0.621158968,0.621158968,5.7,,CCGT,1,,,Sierra,dispatchable_capacity_commit,new_build_generator,,,0.621158968,0.621158968
Advanced_CCGT_LCR_Stockton,,0,1220,6,0.2,600,25,25,0.621158968,0.621158968,5.7,,CCGT,1,,,Stockton,dispatchable_capacity_commit,new_build_generator,,,0.621158968,0.621158968
Aero_CT_LCR_Bay_Area,,0,528.9683152,6.11704,0.3,100,5,5,2.403324553,2.403324553,5,,Peaker,1,,,Bay_Area,dispatchable_capacity_commit,new_build_generator,,,2.403324553,2.403324553
Aero_CT_LCR_Big_Creek_Ventura,,0,528.9683152,6.11704,0.3,100,5,5,2.403324553,2.403324553,5,,Peaker,1,,,Big_Creek_Ventura,dispatchable_capacity_commit,new_build_generator,,,2.403324553,2.403324553
Aero_CT_LCR_Fresno,,0,528.9683152,6.11704,0.3,100,5,5,2.403324553,2.403324553,5,,Peaker,1,,,Fresno,dispatchable_capacity_commit,new_build_generator,,,2.403324553,2.403324553
Aero_CT_LCR_Humboldt,,0,528.9683152,6.11704,0.3,100,5,5,2.403324553,2.403324553,5,,Peaker,1,,,Humboldt,dispatchable_capacity_commit,new_build_generator,,,2.403324553,2.403324553
Aero_CT_LCR_Kern,,0,528.9683152,6.11704,0.3,100,5,5,2.403324553,2.403324553,5,,Peaker,1,,,Kern,dispatchable_capacity_commit,new_build_generator,,,2.403324553,2.403324553
Aero_CT_LCR_LA_Basin,,0,528.9683152,6.11704,0.3,100,5,5,2.403324553,2.403324553,5,,Peaker,1,,,LA_Basin,dispatchable_capacity_commit,new_build_generator,,,2.403324553,2.403324553
Aero_CT_LCR_NCNB,,0,528.9683152,6.11704,0.3,100,5,5,2.403324553,2.403324553,5,,Peaker,1,,,NCNB,dispatchable_capacity_commit,new_build_generator,,,2.403324553,2.403324553
Aero_CT_LCR_San_Diego,,0,528.9683152,6.11704,0.3,100,5,5,2.403324553,2.403324553,5,,Peaker,1,,,San_Diego,dispatchable_capacity_commit,new_build_generator,,,2.403324553,2.403324553
Aero_CT_LCR_Sierra,,0,528.9683152,6.11704,0.3,100,5,5,2.403324553,2.403324553,5,,Peaker,1,,,Sierra,dispatchable_capacity_commit,new_build_generator,,,2.403324553,2.403324553
Aero_CT_LCR_Stockton,,0,528.9683152,6.11704,0.3,100,5,5,2.403324553,2.403324553,5,,Peaker,1,,,Stockton,dispatchable_capacity_commit,new_build_generator,,,2.403324553,2.403324553
