subproblem_id,balancing_type_horizon,horizon,boundary
1,day,20201015,circular
1,day,20201016,circular
1,day,20201017,circular
1,day,20201018,circular
1,day,20201019,circular
1,day,20201020,circular
1,day,20201021,circular
1,day,20201022,circular
1,day,20201023,circular
1,day,20201024,circular
1,day,20201025,circular
1,day,20201026,circular
1,day,20201027,circular
1,day,20201028,circular
1,day,20201029,circular
1,day,20201030,circular
1,day,20201031,circular
1,day,20201101,circular
1,day,20201102,circular
1,day,20201103,circular
1,day,20201104,circular
1,day,20201105,circular
1,day,20201106,circular
1,day,20201107,circular
1,day,20201108,circular
1,day,20201109,circular
1,day,20201110,circular
1,day,20201111,circular
1,day,20201112,circular
1,day,20201113,circular
1,day,20201114,circular
1,day,20201115,circular
1,day,20201116,circular
1,day,20201117,circular
1,day,20201118,circular
1,day,20201119,circular
1,day,20201120,circular
1,day,20201121,circular
1,day,20201122,circular
1,day,20201123,circular
1,day,20201124,circular
1,day,20201125,circular
1,day,20201126,circular
1,day,20201127,circular
1,day,20201128,circular
1,day,20201129,circular
1,day,20201130,circular
1,day,20201201,circular
1,day,20201202,circular
1,day,20201203,circular
1,day,20201204,circular
1,day,20201205,circular
1,day,20201206,circular
1,day,20201207,circular
1,day,20201208,circular
1,day,20201209,circular
1,day,20201210,circular
1,day,20201211,circular
1,day,20201212,circular
1,day,20201213,circular
1,day,20201214,circular
1,day,20201215,circular
1,day,20201216,circular
1,day,20201217,circular
1,day,20201218,circular
1,day,20201219,circular
1,day,20201220,circular
1,day,20201221,circular
1,day,20201222,circular
1,day,20201223,circular
1,day,20201224,circular
1,day,20201225,circular
1,day,20201226,circular
1,day,20201227,circular
1,day,20201228,circular
1,day,20201229,circular
1,day,20201230,circular
1,day,20201231,circular
1,month,202001,circular
1,month,202002,circular
1,month,202003,circular
1,month,202004,circular
1,month,202005,circular
1,month,202006,circular
1,month,202007,circular
1,month,202008,circular
1,month,202009,circular
1,month,202010,circular
1,month,202011,circular
1,month,202012,circular
1,year,2020,circular
