resource,day,value
CAISO_Coal,26,0.95
CAISO_Coal,27,0.95
CAISO_Coal,28,0.95
CAISO_Coal,29,0.95
CAISO_Coal,30,0.95
CAISO_Coal,31,0.95
CAISO_Coal,32,0.95
CAISO_Coal,33,0.95
CAISO_Coal,34,0.95
CAISO_Coal,35,0.5
CAISO_Coal,36,0.95
CAISO_Coal,37,0.95
CAISO_Geothermal_for_CAISO,1,0.8
CAISO_Geothermal_for_CAISO,2,0.8
CAISO_Geothermal_for_CAISO,3,0.8
CAISO_Geothermal_for_CAISO,4,0.8
CAISO_Geothermal_for_CAISO,5,0.8
CAISO_Geothermal_for_CAISO,6,0.8
CAISO_Geothermal_for_CAISO,7,0.8
CAISO_Geothermal_for_CAISO,8,0.8
CAISO_Geothermal_for_CAISO,9,0.8
CAISO_Geothermal_for_CAISO,10,0.8
CAISO_Geothermal_for_CAISO,11,0.8
CAISO_Geothermal_for_CAISO,12,0.8
CAISO_Geothermal_for_CAISO,13,0.8
CAISO_Geothermal_for_CAISO,14,0.8
CAISO_Geothermal_for_CAISO,15,0.8
CAISO_Geothermal_for_CAISO,16,0.8
CAISO_Geothermal_for_CAISO,17,0.8
CAISO_Geothermal_for_CAISO,18,0.8
CAISO_Geothermal_for_CAISO,19,0.8
CAISO_Geothermal_for_CAISO,20,0.8
CAISO_Geothermal_for_CAISO,21,0.8
CAISO_Geothermal_for_CAISO,22,0.8
CAISO_Geothermal_for_CAISO,23,0.8
CAISO_Geothermal_for_CAISO,24,0.8
CAISO_Geothermal_for_CAISO,25,0.8
CAISO_Geothermal_for_CAISO,26,0.8
CAISO_Geothermal_for_CAISO,27,0.8
CAISO_Geothermal_for_CAISO,28,0.8
CAISO_Geothermal_for_CAISO,29,0.8
CAISO_Geothermal_for_CAISO,30,0.8
CAISO_Geothermal_for_CAISO,31,0.8
CAISO_Geothermal_for_CAISO,32,0.8
CAISO_Geothermal_for_CAISO,33,0.8
CAISO_Geothermal_for_CAISO,34,0.8
CAISO_Geothermal_for_CAISO,35,0.8
CAISO_Geothermal_for_CAISO,36,0.8
CAISO_Geothermal_for_CAISO,37,0.8
CAISO_Nuclear,1,1
CAISO_Nuclear,2,1
CAISO_Nuclear,3,1
CAISO_Nuclear,4,1
CAISO_Nuclear,5,1
CAISO_Nuclear,6,0.75
CAISO_Nuclear,7,0.75
CAISO_Nuclear,8,0.75
CAISO_Nuclear,9,0.75
CAISO_Nuclear,10,0.75
CAISO_Nuclear,11,1
CAISO_Nuclear,12,1
CAISO_Nuclear,13,1
CAISO_Nuclear,14,1
CAISO_Nuclear,15,0.75
CAISO_Nuclear,16,0.75
CAISO_Nuclear,17,1
CAISO_Nuclear,18,1
CAISO_Nuclear,19,0.75
CAISO_Nuclear,20,0.75
CAISO_Nuclear,21,0.75
CAISO_Nuclear,22,1
CAISO_Nuclear,23,1
CAISO_Nuclear,24,0.75
CAISO_Nuclear,25,1
CAISO_Nuclear,26,1
CAISO_Nuclear,27,1
CAISO_Nuclear,28,1
CAISO_Nuclear,29,1
CAISO_Nuclear,30,0.75
CAISO_Nuclear,31,0.75
CAISO_Nuclear,32,0.75
CAISO_Nuclear,33,0.75
CAISO_Nuclear,34,0.75
CAISO_Nuclear,35,1
CAISO_Nuclear,36,1
CAISO_Nuclear,37,0.75
CAISO_Small_Hydro_for_CAISO,1,0.5
CAISO_Small_Hydro_for_CAISO,2,0.5
CAISO_Small_Hydro_for_CAISO,3,0.5
CAISO_Small_Hydro_for_CAISO,4,0.5
CAISO_Small_Hydro_for_CAISO,5,0.5
CAISO_Small_Hydro_for_CAISO,6,0.5
CAISO_Small_Hydro_for_CAISO,7,0.5
CAISO_Small_Hydro_for_CAISO,8,0.5
CAISO_Small_Hydro_for_CAISO,9,0.5
CAISO_Small_Hydro_for_CAISO,10,0.5
CAISO_Small_Hydro_for_CAISO,11,0.5
CAISO_Small_Hydro_for_CAISO,12,0.5
CAISO_Small_Hydro_for_CAISO,13,0.5
CAISO_Small_Hydro_for_CAISO,14,0.5
CAISO_Small_Hydro_for_CAISO,15,0.5
CAISO_Small_Hydro_for_CAISO,16,0.5
CAISO_Small_Hydro_for_CAISO,17,0.5
CAISO_Small_Hydro_for_CAISO,18,0.5
CAISO_Small_Hydro_for_CAISO,19,0.5
CAISO_Small_Hydro_for_CAISO,20,0.5
CAISO_Small_Hydro_for_CAISO,21,0.5
CAISO_Small_Hydro_for_CAISO,22,0.5
CAISO_Small_Hydro_for_CAISO,23,0.5
CAISO_Small_Hydro_for_CAISO,24,0.5
CAISO_Small_Hydro_for_CAISO,25,0.5
CAISO_Small_Hydro_for_CAISO,26,0.5
CAISO_Small_Hydro_for_CAISO,27,0.5
CAISO_Small_Hydro_for_CAISO,28,0.5
CAISO_Small_Hydro_for_CAISO,29,0.5
CAISO_Small_Hydro_for_CAISO,30,0.5
CAISO_Small_Hydro_for_CAISO,31,0.5
CAISO_Small_Hydro_for_CAISO,32,0.5
CAISO_Small_Hydro_for_CAISO,33,0.5
CAISO_Small_Hydro_for_CAISO,34,0.5
CAISO_Small_Hydro_for_CAISO,35,0.5
CAISO_Small_Hydro_for_CAISO,36,0.5
CAISO_Small_Hydro_for_CAISO,37,0.5
Greater_Imperial_Geothermal,1,0.880926
Greater_Imperial_Geothermal,2,0.880926
Greater_Imperial_Geothermal,3,0.880926
Greater_Imperial_Geothermal,4,0.880926
Greater_Imperial_Geothermal,5,0.880926
Greater_Imperial_Geothermal,6,0.880926
Greater_Imperial_Geothermal,7,0.880926
Greater_Imperial_Geothermal,8,0.880926
Greater_Imperial_Geothermal,9,0.880926
Greater_Imperial_Geothermal,10,0.880926
Greater_Imperial_Geothermal,11,0.880926
Greater_Imperial_Geothermal,12,0.880926
Greater_Imperial_Geothermal,13,0.880926
Greater_Imperial_Geothermal,14,0.880926
Greater_Imperial_Geothermal,15,0.880926
Greater_Imperial_Geothermal,16,0.880926
Greater_Imperial_Geothermal,17,0.880926
Greater_Imperial_Geothermal,18,0.880926
Greater_Imperial_Geothermal,19,0.880926
Greater_Imperial_Geothermal,20,0.880926
Greater_Imperial_Geothermal,21,0.880926
Greater_Imperial_Geothermal,22,0.880926
Greater_Imperial_Geothermal,23,0.880926
Greater_Imperial_Geothermal,24,0.880926
Greater_Imperial_Geothermal,25,0.880926
Greater_Imperial_Geothermal,26,0.880926
Greater_Imperial_Geothermal,27,0.880926
Greater_Imperial_Geothermal,28,0.880926
Greater_Imperial_Geothermal,29,0.880926
Greater_Imperial_Geothermal,30,0.880926
Greater_Imperial_Geothermal,31,0.880926
Greater_Imperial_Geothermal,32,0.880926
Greater_Imperial_Geothermal,33,0.880926
Greater_Imperial_Geothermal,34,0.880926
Greater_Imperial_Geothermal,35,0.880926
Greater_Imperial_Geothermal,36,0.880926
Greater_Imperial_Geothermal,37,0.880926
IID_Geothermal_for_CAISO,1,0.8
IID_Geothermal_for_CAISO,2,0.8
IID_Geothermal_for_CAISO,3,0.8
IID_Geothermal_for_CAISO,4,0.8
IID_Geothermal_for_CAISO,5,0.8
IID_Geothermal_for_CAISO,6,0.8
IID_Geothermal_for_CAISO,7,0.8
IID_Geothermal_for_CAISO,8,0.8
IID_Geothermal_for_CAISO,9,0.8
IID_Geothermal_for_CAISO,10,0.8
IID_Geothermal_for_CAISO,11,0.8
IID_Geothermal_for_CAISO,12,0.8
IID_Geothermal_for_CAISO,13,0.8
IID_Geothermal_for_CAISO,14,0.8
IID_Geothermal_for_CAISO,15,0.8
IID_Geothermal_for_CAISO,16,0.8
IID_Geothermal_for_CAISO,17,0.8
IID_Geothermal_for_CAISO,18,0.8
IID_Geothermal_for_CAISO,19,0.8
IID_Geothermal_for_CAISO,20,0.8
IID_Geothermal_for_CAISO,21,0.8
IID_Geothermal_for_CAISO,22,0.8
IID_Geothermal_for_CAISO,23,0.8
IID_Geothermal_for_CAISO,24,0.8
IID_Geothermal_for_CAISO,25,0.8
IID_Geothermal_for_CAISO,26,0.8
IID_Geothermal_for_CAISO,27,0.8
IID_Geothermal_for_CAISO,28,0.8
IID_Geothermal_for_CAISO,29,0.8
IID_Geothermal_for_CAISO,30,0.8
IID_Geothermal_for_CAISO,31,0.8
IID_Geothermal_for_CAISO,32,0.8
IID_Geothermal_for_CAISO,33,0.8
IID_Geothermal_for_CAISO,34,0.8
IID_Geothermal_for_CAISO,35,0.8
IID_Geothermal_for_CAISO,36,0.8
IID_Geothermal_for_CAISO,37,0.8
InState_Biomass,1,0.85
InState_Biomass,2,0.85
InState_Biomass,3,0.85
InState_Biomass,4,0.85
InState_Biomass,5,0.85
InState_Biomass,6,0.85
InState_Biomass,7,0.85
InState_Biomass,8,0.85
InState_Biomass,9,0.85
InState_Biomass,10,0.85
InState_Biomass,11,0.85
InState_Biomass,12,0.85
InState_Biomass,13,0.85
InState_Biomass,14,0.85
InState_Biomass,15,0.85
InState_Biomass,16,0.85
InState_Biomass,17,0.85
InState_Biomass,18,0.85
InState_Biomass,19,0.85
InState_Biomass,20,0.85
InState_Biomass,21,0.85
InState_Biomass,22,0.85
InState_Biomass,23,0.85
InState_Biomass,24,0.85
InState_Biomass,25,0.85
InState_Biomass,26,0.85
InState_Biomass,27,0.85
InState_Biomass,28,0.85
InState_Biomass,29,0.85
InState_Biomass,30,0.85
InState_Biomass,31,0.85
InState_Biomass,32,0.85
InState_Biomass,33,0.85
InState_Biomass,34,0.85
InState_Biomass,35,0.85
InState_Biomass,36,0.85
InState_Biomass,37,0.85
Inyokern_North_Kramer_Geothermal,1,0.8
Inyokern_North_Kramer_Geothermal,2,0.8
Inyokern_North_Kramer_Geothermal,3,0.8
Inyokern_North_Kramer_Geothermal,4,0.8
Inyokern_North_Kramer_Geothermal,5,0.8
Inyokern_North_Kramer_Geothermal,6,0.8
Inyokern_North_Kramer_Geothermal,7,0.8
Inyokern_North_Kramer_Geothermal,8,0.8
Inyokern_North_Kramer_Geothermal,9,0.8
Inyokern_North_Kramer_Geothermal,10,0.8
Inyokern_North_Kramer_Geothermal,11,0.8
Inyokern_North_Kramer_Geothermal,12,0.8
Inyokern_North_Kramer_Geothermal,13,0.8
Inyokern_North_Kramer_Geothermal,14,0.8
Inyokern_North_Kramer_Geothermal,15,0.8
Inyokern_North_Kramer_Geothermal,16,0.8
Inyokern_North_Kramer_Geothermal,17,0.8
Inyokern_North_Kramer_Geothermal,18,0.8
Inyokern_North_Kramer_Geothermal,19,0.8
Inyokern_North_Kramer_Geothermal,20,0.8
Inyokern_North_Kramer_Geothermal,21,0.8
Inyokern_North_Kramer_Geothermal,22,0.8
Inyokern_North_Kramer_Geothermal,23,0.8
Inyokern_North_Kramer_Geothermal,24,0.8
Inyokern_North_Kramer_Geothermal,25,0.8
Inyokern_North_Kramer_Geothermal,26,0.8
Inyokern_North_Kramer_Geothermal,27,0.8
Inyokern_North_Kramer_Geothermal,28,0.8
Inyokern_North_Kramer_Geothermal,29,0.8
Inyokern_North_Kramer_Geothermal,30,0.8
Inyokern_North_Kramer_Geothermal,31,0.8
Inyokern_North_Kramer_Geothermal,32,0.8
Inyokern_North_Kramer_Geothermal,33,0.8
Inyokern_North_Kramer_Geothermal,34,0.8
Inyokern_North_Kramer_Geothermal,35,0.8
Inyokern_North_Kramer_Geothermal,36,0.8
