resource,day,value
Riverside_Palm_Springs_Geothermal,1,0.8
Riverside_Palm_Springs_Geothermal,2,0.8
Riverside_Palm_Springs_Geothermal,3,0.8
Riverside_Palm_Springs_Geothermal,4,0.8
Riverside_Palm_Springs_Geothermal,5,0.8
Riverside_Palm_Springs_Geothermal,6,0.8
Riverside_Palm_Springs_Geothermal,7,0.8
Riverside_Palm_Springs_Geothermal,8,0.8
Riverside_Palm_Springs_Geothermal,9,0.8
Riverside_Palm_Springs_Geothermal,10,0.8
Riverside_Palm_Springs_Geothermal,11,0.8
Riverside_Palm_Springs_Geothermal,12,0.8
Riverside_Palm_Springs_Geothermal,13,0.8
Riverside_Palm_Springs_Geothermal,14,0.8
Riverside_Palm_Springs_Geothermal,15,0.8
Riverside_Palm_Springs_Geothermal,16,0.8
Riverside_Palm_Springs_Geothermal,17,0.8
Riverside_Palm_Springs_Geothermal,18,0.8
Riverside_Palm_Springs_Geothermal,19,0.8
Riverside_Palm_Springs_Geothermal,20,0.8
Riverside_Palm_Springs_Geothermal,21,0.8
Riverside_Palm_Springs_Geothermal,22,0.8
Riverside_Palm_Springs_Geothermal,23,0.8
Riverside_Palm_Springs_Geothermal,24,0.8
Riverside_Palm_Springs_Geothermal,25,0.8
Riverside_Palm_Springs_Geothermal,26,0.8
Riverside_Palm_Springs_Geothermal,27,0.8
Riverside_Palm_Springs_Geothermal,28,0.8
Riverside_Palm_Springs_Geothermal,29,0.8
Riverside_Palm_Springs_Geothermal,30,0.8
Riverside_Palm_Springs_Geothermal,31,0.8
Riverside_Palm_Springs_Geothermal,32,0.8
Riverside_Palm_Springs_Geothermal,33,0.8
Riverside_Palm_Springs_Geothermal,34,0.8
Riverside_Palm_Springs_Geothermal,35,0.8
Riverside_Palm_Springs_Geothermal,36,0.8
Riverside_Palm_Springs_Geothermal,37,0.8
Solano_Geothermal,1,0.9
Solano_Geothermal,2,0.9
Solano_Geothermal,3,0.9
Solano_Geothermal,4,0.9
Solano_Geothermal,5,0.9
Solano_Geothermal,6,0.9
Solano_Geothermal,7,0.9
Solano_Geothermal,8,0.9
Solano_Geothermal,9,0.9
Solano_Geothermal,10,0.9
Solano_Geothermal,11,0.9
Solano_Geothermal,12,0.9
Solano_Geothermal,13,0.9
Solano_Geothermal,14,0.9
Solano_Geothermal,15,0.9
Solano_Geothermal,16,0.9
Solano_Geothermal,17,0.9
Solano_Geothermal,18,0.9
Solano_Geothermal,19,0.9
Solano_Geothermal,20,0.9
Solano_Geothermal,21,0.9
Solano_Geothermal,22,0.9
Solano_Geothermal,23,0.9
Solano_Geothermal,24,0.9
Solano_Geothermal,25,0.9
Solano_Geothermal,26,0.9
Solano_Geothermal,27,0.9
Solano_Geothermal,28,0.9
Solano_Geothermal,29,0.9
Solano_Geothermal,30,0.9
Solano_Geothermal,31,0.9
Solano_Geothermal,32,0.9
Solano_Geothermal,33,0.9
Solano_Geothermal,34,0.9
Solano_Geothermal,35,0.9
Solano_Geothermal,36,0.9
Solano_Geothermal,37,0.9
Southern_Nevada_Geothermal,1,0.843269
Southern_Nevada_Geothermal,2,0.843269
Southern_Nevada_Geothermal,3,0.843269
Southern_Nevada_Geothermal,4,0.843269
Southern_Nevada_Geothermal,5,0.843269
Southern_Nevada_Geothermal,6,0.843269
Southern_Nevada_Geothermal,7,0.843269
Southern_Nevada_Geothermal,8,0.843269
Southern_Nevada_Geothermal,9,0.843269
Southern_Nevada_Geothermal,10,0.843269
Southern_Nevada_Geothermal,11,0.843269
Southern_Nevada_Geothermal,12,0.843269
Southern_Nevada_Geothermal,13,0.843269
Southern_Nevada_Geothermal,14,0.843269
Southern_Nevada_Geothermal,15,0.843269
Southern_Nevada_Geothermal,16,0.843269
Southern_Nevada_Geothermal,17,0.843269
Southern_Nevada_Geothermal,18,0.843269
Southern_Nevada_Geothermal,19,0.843269
Southern_Nevada_Geothermal,20,0.843269
Southern_Nevada_Geothermal,21,0.843269
Southern_Nevada_Geothermal,22,0.843269
Southern_Nevada_Geothermal,23,0.843269
Southern_Nevada_Geothermal,24,0.843269
Southern_Nevada_Geothermal,25,0.843269
Southern_Nevada_Geothermal,26,0.843269
Southern_Nevada_Geothermal,27,0.843269
Southern_Nevada_Geothermal,28,0.843269
Southern_Nevada_Geothermal,29,0.843269
Southern_Nevada_Geothermal,30,0.843269
Southern_Nevada_Geothermal,31,0.843269
Southern_Nevada_Geothermal,32,0.843269
Southern_Nevada_Geothermal,33,0.843269
Southern_Nevada_Geothermal,34,0.843269
Southern_Nevada_Geothermal,35,0.843269
Southern_Nevada_Geothermal,36,0.843269
Southern_Nevada_Geothermal,37,0.843269
SW_Coal,1,0.95
SW_Coal,2,0.95
SW_Coal,3,0.95
SW_Coal,4,0.95
SW_Coal,5,0.95
SW_Coal,6,0.5
SW_Coal,7,0.5
SW_Coal,8,0.5
SW_Coal,9,0.5
SW_Coal,10,0.5
SW_Coal,11,0.95
SW_Coal,12,0.95
SW_Coal,13,0.95
SW_Coal,14,0.95
SW_Coal,15,0.95
SW_Coal,16,0.95
SW_Coal,17,0.95
SW_Coal,18,0.95
SW_Coal,19,0.5
SW_Coal,20,0.5
SW_Coal,21,0.5
SW_Coal,22,0.95
SW_Coal,23,0.95
SW_Coal,24,0.95
SW_Coal,25,0.95
SW_Coal,26,0.95
SW_Coal,27,0.95
SW_Coal,28,0.95
SW_Coal,29,0.95
SW_Coal,30,0.5
SW_Coal,31,0.5
SW_Coal,32,0.5
SW_Coal,33,0.5
SW_Coal,34,0.5
SW_Coal,35,0.95
SW_Coal,36,0.95
SW_Coal,37,0.95
SW_Nuclear,1,1
SW_Nuclear,2,1
SW_Nuclear,3,1
SW_Nuclear,4,1
SW_Nuclear,5,1
SW_Nuclear,6,0.75
SW_Nuclear,7,0.75
SW_Nuclear,8,0.75
SW_Nuclear,9,0.75
SW_Nuclear,10,0.75
SW_Nuclear,11,1
SW_Nuclear,12,1
SW_Nuclear,13,1
SW_Nuclear,14,1
SW_Nuclear,15,0.75
SW_Nuclear,16,0.75
SW_Nuclear,17,1
SW_Nuclear,18,1
SW_Nuclear,19,0.75
SW_Nuclear,20,0.75
SW_Nuclear,21,0.75
SW_Nuclear,22,1
SW_Nuclear,23,1
SW_Nuclear,24,0.75
SW_Nuclear,25,1
SW_Nuclear,26,1
SW_Nuclear,27,1
SW_Nuclear,28,1
SW_Nuclear,29,1
SW_Nuclear,30,0.75
SW_Nuclear,31,0.75
SW_Nuclear,32,0.75
SW_Nuclear,33,0.75
SW_Nuclear,34,0.75
SW_Nuclear,35,1
SW_Nuclear,36,1
SW_Nuclear,37,0.75
