subproblem_id,stage_id,timepoint,period,number_of_hours_in_timepoint,timepoint_weight,previous_stage_timepoint_map,spinup_or_lookahead,month,hour_of_day,timestamp,horizon_day
1,1,2020040115,2020,1,30,,,4,15,4/1/20 14:00,20200401
1,1,2020040116,2020,1,30,,,4,16,4/1/20 15:00,20200401
1,1,2020040117,2020,1,30,,,4,17,4/1/20 16:00,20200401
1,1,2020040118,2020,1,30,,,4,18,4/1/20 17:00,20200401
1,1,2020040119,2020,1,30,,,4,19,4/1/20 18:00,20200401
1,1,2020040120,2020,1,30,,,4,20,4/1/20 19:00,20200401
1,1,2020040121,2020,1,30,,,4,21,4/1/20 20:00,20200401
1,1,2020040122,2020,1,30,,,4,22,4/1/20 21:00,20200401
1,1,2020040123,2020,1,30,,,4,23,4/1/20 22:00,20200401
1,1,2020040124,2020,1,30,,,4,24,4/1/20 23:00,20200401
1,1,2020050101,2020,1,31,,,5,1,5/1/20 0:00,20200501
1,1,2020050102,2020,1,31,,,5,2,5/1/20 1:00,20200501
1,1,2020050103,2020,1,31,,,5,3,5/1/20 2:00,20200501
1,1,2020050104,2020,1,31,,,5,4,5/1/20 3:00,20200501
1,1,2020050105,2020,1,31,,,5,5,5/1/20 4:00,20200501
1,1,2020050106,2020,1,31,,,5,6,5/1/20 5:00,20200501
1,1,2020050107,2020,1,31,,,5,7,5/1/20 6:00,20200501
1,1,2020050108,2020,1,31,,,5,8,5/1/20 7:00,20200501
1,1,2020050109,2020,1,31,,,5,9,5/1/20 8:00,20200501
1,1,2020050110,2020,1,31,,,5,10,5/1/20 9:00,20200501
1,1,2020050111,2020,1,31,,,5,11,5/1/20 10:00,20200501
1,1,2020050112,2020,1,31,,,5,12,5/1/20 11:00,20200501
1,1,2020050113,2020,1,31,,,5,13,5/1/20 12:00,20200501
1,1,2020050114,2020,1,31,,,5,14,5/1/20 13:00,20200501
1,1,2020050115,2020,1,31,,,5,15,5/1/20 14:00,20200501
1,1,2020050116,2020,1,31,,,5,16,5/1/20 15:00,20200501
1,1,2020050117,2020,1,31,,,5,17,5/1/20 16:00,20200501
1,1,2020050118,2020,1,31,,,5,18,5/1/20 17:00,20200501
1,1,2020050119,2020,1,31,,,5,19,5/1/20 18:00,20200501
1,1,2020050120,2020,1,31,,,5,20,5/1/20 19:00,20200501
1,1,2020050121,2020,1,31,,,5,21,5/1/20 20:00,20200501
1,1,2020050122,2020,1,31,,,5,22,5/1/20 21:00,20200501
1,1,2020050123,2020,1,31,,,5,23,5/1/20 22:00,20200501
1,1,2020050124,2020,1,31,,,5,24,5/1/20 23:00,20200501
1,1,2020060101,2020,1,30,,,6,1,6/1/20 0:00,20200601
1,1,2020060102,2020,1,30,,,6,2,6/1/20 1:00,20200601
1,1,2020060103,2020,1,30,,,6,3,6/1/20 2:00,20200601
1,1,2020060104,2020,1,30,,,6,4,6/1/20 3:00,20200601
1,1,2020060105,2020,1,30,,,6,5,6/1/20 4:00,20200601
1,1,2020060106,2020,1,30,,,6,6,6/1/20 5:00,20200601
